Nodes_16,Input_2000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_12000,ScatteringOrder_l9,Nodes_64,Energy
1,1,1,31.57225625,86.9044625,32,1,0,0,0,0,0,1,8,1,1,4,50,0,68292959652,3.736,624826193.3,2.111,34.2837,1390.4714,505.1561,7.6394,0,0,0,14481.45672
1,1,1,32.81351875,95.38919375,32,1,0,0,0,0,0,1,8,1,1,4,55,0,60881322463,4.223,621254756.1,2.3428,33.1925,1526.2271,525.0163,6.0149,0,0,0,12338.02393
1,1,1,33.1785875,103.2801063,32,1,0,0,0,0,0,1,8,1,1,4,60,0,59255575529,4.5708,620804920.8,2.5125,35.6479,1652.4817,530.8574,5.4116,0,0,0,11815.35787
1,1,1,33.87116875,113.6297125,32,1,0,0,0,0,0,1,8,1,1,4,65,0,56337704127,4.895,619419477.4,2.6936,35.8681,1818.0754,541.9387,4.8056,0,0,0,11341.28376
1,1,1,34.02113125,117.3057188,32,1,0,0,0,0,0,1,8,1,1,4,70,0,55748947554,5.0561,618670596.6,2.7808,37.1738,1876.8915,544.3381,4.6053,0,0,0,11150.48868
1,1,1,33.891475,119.0218,32,1,0,0,0,0,0,1,8,1,1,4,75,0,55526069627,5.0356,618858487.4,2.796,39.3379,1904.3488,542.2636,4.6055,0,0,0,11267.87341
1,1,1,33.9809125,119.183825,32,1,0,0,0,0,0,1,8,1,1,4,80,0,56205241084,5.0974,619000910.2,2.8003,38.1426,1906.9412,543.6946,4.6058,0,0,0,11287.13837
1,1,1,33.8944875,117.8499813,32,1,0,0,0,0,0,1,8,1,1,4,85,0,54639636769,4.9549,618627838.1,2.8,38.6829,1885.5997,542.3118,4.6054,0,0,0,11181.50362
1,1,1,33.9062875,119.14495,32,1,0,0,0,0,0,1,8,1,1,4,90,0,55907631727,5.0705,619006384.6,2.8008,40.3893,1906.3192,542.5006,4.6054,0,0,0,11277.79471
1,1,1,33.735625,118.413125,32,1,0,0,0,0,0,1,8,1,1,4,95,0,54708291909,4.961,618574095.3,2.8004,39.9316,1894.61,539.77,4.6055,0,0,0,11211.53709
