prefetch,strategy_block,strategy_loop,strategy_routine,strategy_trace,stores_always,stores_auto,stores_never,level,factor,limit,jump_default,jump_large,jump_never,unroll,matmul,ExecTime
0,0,0,1,0,1,0,0,0,0,8,0,0,1,0.0,0.0,10.79
0,0,0,1,0,1,0,0,0,0,8,0,0,1,0.0,1.0,10.97
0,0,0,1,0,1,0,0,0,0,8,0,0,1,1.0,0.0,10.74
0,0,0,1,0,1,0,0,0,0,8,0,0,1,1.0,1.0,11.28
0,0,0,1,0,1,0,0,0,0,8,1,0,0,0.0,0.0,10.83
0,0,0,1,0,1,0,0,0,0,8,1,0,0,0.0,1.0,10.91
0,0,0,1,0,1,0,0,0,0,8,1,0,0,1.0,0.0,11.15
0,0,0,1,0,1,0,0,0,0,8,1,0,0,1.0,1.0,10.9
0,0,0,1,0,1,0,0,0,0,8,0,1,0,0.0,0.0,11.0
0,0,0,1,0,1,0,0,0,0,8,0,1,0,0.0,1.0,11.07
0,0,0,1,0,1,0,0,0,0,8,0,1,0,1.0,0.0,11.25
0,0,0,1,0,1,0,0,0,0,8,0,1,0,1.0,1.0,10.67
0,0,0,1,0,1,0,0,0,0,32,0,0,1,0.0,0.0,10.78
0,0,0,1,0,1,0,0,0,0,32,0,0,1,0.0,1.0,11.4
0,0,0,1,0,1,0,0,0,0,32,0,0,1,1.0,0.0,10.9
0,0,0,1,0,1,0,0,0,0,32,0,0,1,1.0,1.0,10.87
0,0,0,1,0,1,0,0,0,0,32,1,0,0,0.0,0.0,10.72
0,0,0,1,0,1,0,0,0,0,32,1,0,0,0.0,1.0,10.8
0,0,0,1,0,1,0,0,0,0,32,1,0,0,1.0,0.0,10.96
0,0,0,1,0,1,0,0,0,0,32,1,0,0,1.0,1.0,10.99
0,0,0,1,0,1,0,0,0,0,32,0,1,0,0.0,0.0,11.0
0,0,0,1,0,1,0,0,0,0,32,0,1,0,0.0,1.0,10.7
0,0,0,1,0,1,0,0,0,0,32,0,1,0,1.0,0.0,10.91
0,0,0,1,0,1,0,0,0,0,32,0,1,0,1.0,1.0,10.88
0,0,0,1,0,1,0,0,0,0,128,0,0,1,0.0,0.0,10.85
0,0,0,1,0,1,0,0,0,0,128,0,0,1,0.0,1.0,10.78
0,0,0,1,0,1,0,0,0,0,128,0,0,1,1.0,0.0,10.84
0,0,0,1,0,1,0,0,0,0,128,0,0,1,1.0,1.0,10.81
0,0,0,1,0,1,0,0,0,0,128,1,0,0,0.0,0.0,10.87
0,0,0,1,0,1,0,0,0,0,128,1,0,0,0.0,1.0,10.98
0,0,0,1,0,1,0,0,0,0,128,1,0,0,1.0,0.0,10.81
0,0,0,1,0,1,0,0,0,0,128,1,0,0,1.0,1.0,11.06
0,0,0,1,0,1,0,0,0,0,128,0,1,0,0.0,0.0,10.94
0,0,0,1,0,1,0,0,0,0,128,0,1,0,0.0,1.0,11.2
0,0,0,1,0,1,0,0,0,0,128,0,1,0,1.0,0.0,11.01
0,0,0,1,0,1,0,0,0,0,128,0,1,0,1.0,1.0,10.88
0,0,0,1,0,1,0,0,0,0,512,0,0,1,0.0,0.0,10.97
0,0,0,1,0,1,0,0,0,0,512,0,0,1,0.0,1.0,10.96
0,0,0,1,0,1,0,0,0,0,512,0,0,1,1.0,0.0,11.03
0,0,0,1,0,1,0,0,0,0,512,0,0,1,1.0,1.0,11.02
0,0,0,1,0,1,0,0,0,0,512,1,0,0,0.0,0.0,10.95
0,0,0,1,0,1,0,0,0,0,512,1,0,0,0.0,1.0,11.18
0,0,0,1,0,1,0,0,0,0,512,1,0,0,1.0,0.0,10.85
0,0,0,1,0,1,0,0,0,0,512,1,0,0,1.0,1.0,10.78
0,0,0,1,0,1,0,0,0,0,512,0,1,0,0.0,0.0,10.95
