unroll,malloc,strategy_block,strategy_loop,strategy_routine,strategy_trace,stores_always,stores_auto,stores_never,level,noipo,functions,force,builtin,ExecTime
0,0,0,0,1,0,1,0,0,0,0.0,1.0,0.0,1.0,12.18
0,0,0,0,1,0,1,0,0,0,0.0,1.0,0.0,0.0,12.64
0,0,0,0,1,0,1,0,0,0,0.0,1.0,1.0,1.0,10.88
0,0,0,0,1,0,1,0,0,0,0.0,1.0,1.0,0.0,12.12
0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,1.0,12.53
0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,12.47
0,0,0,0,1,0,1,0,0,0,0.0,0.0,1.0,1.0,10.85
0,0,0,0,1,0,1,0,0,0,0.0,0.0,1.0,0.0,12.22
0,0,0,0,1,0,1,0,0,1,0.0,1.0,0.0,1.0,12.14
0,0,0,0,1,0,1,0,0,1,0.0,1.0,0.0,0.0,12.67
0,0,0,0,1,0,1,0,0,1,0.0,1.0,1.0,1.0,10.05
0,0,0,0,1,0,1,0,0,1,0.0,1.0,1.0,0.0,11.92
0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0,12.41
0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,12.62
0,0,0,0,1,0,1,0,0,1,0.0,0.0,1.0,1.0,10.34
0,0,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0,11.66
0,0,0,0,1,0,1,0,0,2,0.0,1.0,0.0,1.0,12.36
0,0,0,0,1,0,1,0,0,2,0.0,1.0,0.0,0.0,12.94
0,0,0,0,1,0,1,0,0,2,0.0,1.0,1.0,1.0,10.08
0,0,0,0,1,0,1,0,0,2,0.0,1.0,1.0,0.0,11.55
0,0,0,0,1,0,1,0,0,2,0.0,0.0,0.0,1.0,12.5
0,0,0,0,1,0,1,0,0,2,0.0,0.0,0.0,0.0,12.62
0,0,0,0,1,0,1,0,0,2,0.0,0.0,1.0,1.0,10.24
0,0,0,0,1,0,1,0,0,2,0.0,0.0,1.0,0.0,11.68
0,0,0,0,1,0,0,0,1,0,0.0,1.0,0.0,1.0,6.15
0,0,0,0,1,0,0,0,1,0,0.0,1.0,0.0,0.0,6.26
0,0,0,0,1,0,0,0,1,0,0.0,1.0,1.0,1.0,7.32
0,0,0,0,1,0,0,0,1,0,0.0,1.0,1.0,0.0,7.5
0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,6.13
0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,6.22
0,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,1.0,7.39
0,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0.0,7.48
0,0,0,0,1,0,0,0,1,1,0.0,1.0,0.0,1.0,7.2
0,0,0,0,1,0,0,0,1,1,0.0,1.0,0.0,0.0,6.26
0,0,0,0,1,0,0,0,1,1,0.0,1.0,1.0,1.0,6.15
0,0,0,0,1,0,0,0,1,1,0.0,1.0,1.0,0.0,6.21
0,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,1.0,6.16
0,0,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,6.23
0,0,0,0,1,0,0,0,1,1,0.0,0.0,1.0,1.0,6.09
0,0,0,0,1,0,0,0,1,1,0.0,0.0,1.0,0.0,6.17
0,0,0,0,1,0,0,0,1,2,0.0,1.0,0.0,1.0,6.08
0,0,0,0,1,0,0,0,1,2,0.0,1.0,0.0,0.0,6.21
0,0,0,0,1,0,0,0,1,2,0.0,1.0,1.0,1.0,6.1
0,0,0,0,1,0,0,0,1,2,0.0,1.0,1.0,0.0,6.25
0,0,0,0,1,0,0,0,1,2,0.0,0.0,0.0,1.0,6.04
0,0,0,0,1,0,0,0,1,2,0.0,0.0,0.0,0.0,6.17
0,0,0,0,1,0,0,0,1,2,0.0,0.0,1.0,1.0,6.15
0,0,0,0,1,0,0,0,1,2,0.0,0.0,1.0,0.0,6.24
0,0,0,0,1,0,0,1,0,0,0.0,1.0,0.0,1.0,6.16
0,0,0,0,1,0,0,1,0,0,0.0,1.0,0.0,0.0,6.28
0,0,0,0,1,0,0,1,0,0,0.0,1.0,1.0,1.0,7.39
0,0,0,0,1,0,0,1,0,0,0.0,1.0,1.0,0.0,7.49
0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,1.0,6.15
0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,6.22
0,0,0,0,1,0,0,1,0,0,0.0,0.0,1.0,1.0,7.44
0,0,0,0,1,0,0,1,0,0,0.0,0.0,1.0,0.0,7.5
0,0,0,0,1,0,0,1,0,1,0.0,1.0,0.0,1.0,6.06
0,0,0,0,1,0,0,1,0,1,0.0,1.0,0.0,0.0,6.24
0,0,0,0,1,0,0,1,0,1,0.0,1.0,1.0,1.0,6.18
0,0,0,0,1,0,0,1,0,1,0.0,1.0,1.0,0.0,6.21
0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,1.0,6.09
0,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,6.22
0,0,0,0,1,0,0,1,0,1,0.0,0.0,1.0,1.0,6.13
0,0,0,0,1,0,0,1,0,1,0.0,0.0,1.0,0.0,6.23
0,0,0,0,1,0,0,1,0,2,0.0,1.0,0.0,1.0,6.05
0,0,0,0,1,0,0,1,0,2,0.0,1.0,0.0,0.0,6.2
0,0,0,0,1,0,0,1,0,2,0.0,1.0,1.0,1.0,6.17
0,0,0,0,1,0,0,1,0,2,0.0,1.0,1.0,0.0,6.25
0,0,0,0,1,0,0,1,0,2,0.0,0.0,0.0,1.0,6.12
0,0,0,0,1,0,0,1,0,2,0.0,0.0,0.0,0.0,6.21
0,0,0,0,1,0,0,1,0,2,0.0,0.0,1.0,1.0,6.23
0,0,0,0,1,0,0,1,0,2,0.0,0.0,1.0,0.0,6.26
0,0,1,0,0,0,1,0,0,0,0.0,1.0,0.0,1.0,12.12
0,0,1,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,12.25
0,0,1,0,0,0,1,0,0,0,0.0,1.0,1.0,1.0,12.19
0,0,1,0,0,0,1,0,0,0,0.0,1.0,1.0,0.0,12.07
0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,12.1
0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,12.33
0,0,1,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,12.01
0,0,1,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,11.83
0,0,1,0,0,0,1,0,0,1,0.0,1.0,0.0,1.0,11.83
0,0,1,0,0,0,1,0,0,1,0.0,1.0,0.0,0.0,12.55
0,0,1,0,0,0,1,0,0,1,0.0,1.0,1.0,1.0,11.28
0,0,1,0,0,0,1,0,0,1,0.0,1.0,1.0,0.0,11.82
0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0,11.92
0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,12.11
0,0,1,0,0,0,1,0,0,1,0.0,0.0,1.0,1.0,11.95
0,0,1,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0,11.55
0,0,1,0,0,0,1,0,0,2,0.0,1.0,0.0,1.0,11.8
0,0,1,0,0,0,1,0,0,2,0.0,1.0,0.0,0.0,12.33
0,0,1,0,0,0,1,0,0,2,0.0,1.0,1.0,1.0,11.24
0,0,1,0,0,0,1,0,0,2,0.0,1.0,1.0,0.0,11.63
0,0,1,0,0,0,1,0,0,2,0.0,0.0,0.0,1.0,11.84
0,0,1,0,0,0,1,0,0,2,0.0,0.0,0.0,0.0,12.18
0,0,1,0,0,0,1,0,0,2,0.0,0.0,1.0,1.0,11.39
0,0,1,0,0,0,1,0,0,2,0.0,0.0,1.0,0.0,11.38
0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,6.07
0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,6.26
0,0,1,0,0,0,0,0,1,0,0.0,1.0,1.0,1.0,7.42
0,0,1,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,7.62
0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,6.12
0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6.29
0,0,1,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,7.45
0,0,1,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,7.53
0,0,1,0,0,0,0,0,1,1,0.0,1.0,0.0,1.0,6.11
0,0,1,0,0,0,0,0,1,1,0.0,1.0,0.0,0.0,6.32
0,0,1,0,0,0,0,0,1,1,0.0,1.0,1.0,1.0,6.12
0,0,1,0,0,0,0,0,1,1,0.0,1.0,1.0,0.0,6.32
0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,1.0,6.07
0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,6.29
0,0,1,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,6.13
0,0,1,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,6.26
0,0,1,0,0,0,0,0,1,2,0.0,1.0,0.0,1.0,6.02
0,0,1,0,0,0,0,0,1,2,0.0,1.0,0.0,0.0,6.16
0,0,1,0,0,0,0,0,1,2,0.0,1.0,1.0,1.0,6.11
0,0,1,0,0,0,0,0,1,2,0.0,1.0,1.0,0.0,6.22
0,0,1,0,0,0,0,0,1,2,0.0,0.0,0.0,1.0,6.05
0,0,1,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,6.22
0,0,1,0,0,0,0,0,1,2,0.0,0.0,1.0,1.0,6.09
0,0,1,0,0,0,0,0,1,2,0.0,0.0,1.0,0.0,6.24
0,0,1,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,6.08
0,0,1,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,6.29
0,0,1,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,7.48
0,0,1,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,7.55
