tiling,unrolling,vectorize,omp,num_omp,ExecTime
1,1,0,1,1,0.0791626
2,1,0,1,1,0.127626
3,1,0,1,1,0.342635
4,1,0,1,1,0.340236
5,1,0,1,1,0.340601
7,1,0,1,1,0.34895
8,1,0,1,1,0.416114
16,1,0,1,1,0.342561
32,1,0,1,1,0.342307
64,1,0,1,1,0.342522
128,1,0,1,1,0.340658
256,1,0,1,1,0.129947
512,1,0,1,1,0.0755546
1,2,0,1,1,0.0794542
2,2,0,1,1,0.117582
3,2,0,1,1,0.176611
4,2,0,1,1,0.133443
5,2,0,1,1,0.153138
7,2,0,1,1,0.143528
8,2,0,1,1,0.13103
16,2,0,1,1,0.130286
32,2,0,1,1,0.130098
64,2,0,1,1,0.131241
128,2,0,1,1,0.132361
256,2,0,1,1,0.130501
512,2,0,1,1,0.0801994
1,3,0,1,1,0.0506592
2,3,0,1,1,0.126612
3,3,0,1,1,0.125253
4,3,0,1,1,0.158269
5,3,0,1,1,0.15683
7,3,0,1,1,0.130917
8,3,0,1,1,0.149293
16,3,0,1,1,0.122616
32,3,0,1,1,0.12053
64,3,0,1,1,0.100967
128,3,0,1,1,0.0901433
256,3,0,1,1,0.114371
512,3,0,1,1,0.0499204
1,4,0,1,1,0.0498156
2,4,0,1,1,0.126633
3,4,0,1,1,0.340184
4,4,0,1,1,0.135615
5,4,0,1,1,0.135102
7,4,0,1,1,0.169264
8,4,0,1,1,0.112955
16,4,0,1,1,0.132839
32,4,0,1,1,0.085679
64,4,0,1,1,0.13217
128,4,0,1,1,0.132168
256,4,0,1,1,0.132521
512,4,0,1,1,0.0980203
1,5,0,1,1,0.0529004
2,5,0,1,1,0.126732
3,5,0,1,1,0.34038
4,5,0,1,1,0.33974
5,5,0,1,1,0.110673
7,5,0,1,1,0.120301
8,5,0,1,1,0.160341
16,5,0,1,1,0.0957419
32,5,0,1,1,0.110805
64,5,0,1,1,0.111764
128,5,0,1,1,0.109151
256,5,0,1,1,0.108784
512,5,0,1,1,0.0780872
1,6,0,1,1,0.0713704
2,6,0,1,1,0.126691
3,6,0,1,1,0.340356
4,6,0,1,1,0.340256
5,6,0,1,1,0.343333
7,6,0,1,1,0.119743
8,6,0,1,1,0.147747
16,6,0,1,1,0.134724
32,6,0,1,1,0.113816
64,6,0,1,1,0.113668
128,6,0,1,1,0.088944
256,6,0,1,1,0.109608
512,6,0,1,1,0.0781978
1,7,0,1,1,0.0749139
2,7,0,1,1,0.127971
3,7,0,1,1,0.340435
4,7,0,1,1,0.339808
5,7,0,1,1,0.343328
7,7,0,1,1,0.0906424
8,7,0,1,1,0.113541
16,7,0,1,1,0.116712
32,7,0,1,1,0.102908
64,7,0,1,1,0.101479
128,7,0,1,1,0.102545
256,7,0,1,1,0.0928753
512,7,0,1,1,0.0713963
1,8,0,1,1,0.0511995
2,8,0,1,1,0.126641
3,8,0,1,1,0.340044
4,8,0,1,1,0.339658
5,8,0,1,1,0.342451
7,8,0,1,1,0.355199
8,8,0,1,1,0.0999788
16,8,0,1,1,0.0995094
32,8,0,1,1,0.0991766
64,8,0,1,1,0.0990431
128,8,0,1,1,0.0784767
256,8,0,1,1,0.0962575
512,8,0,1,1,0.0732946
1,16,0,1,1,0.0672503
2,16,0,1,1,0.126675
3,16,0,1,1,0.340385
4,16,0,1,1,0.339612
5,16,0,1,1,0.343778
7,16,0,1,1,0.34135
8,16,0,1,1,0.342065
16,16,0,1,1,0.0898688
32,16,0,1,1,0.0899738
64,16,0,1,1,0.0897772
128,16,0,1,1,0.0898099
256,16,0,1,1,0.0903001
512,16,0,1,1,0.0564854
1,31,0,1,1,0.0811726
2,31,0,1,1,0.126811
3,31,0,1,1,0.349087
4,31,0,1,1,0.34038
5,31,0,1,1,0.346695
7,31,0,1,1,0.363154
8,31,0,1,1,0.340968
16,31,0,1,1,0.344238
32,31,0,1,1,0.110981
64,31,0,1,1,0.110281
128,31,0,1,1,0.110119
256,31,0,1,1,0.109099
512,31,0,1,1,0.0790768
1,1,1,1,1,0.0756218
2,1,1,1,1,0.1265
3,1,1,1,1,0.214067
4,1,1,1,1,0.195279
5,1,1,1,1,0.184048
7,1,1,1,1,0.173472
8,1,1,1,1,0.169048
16,1,1,1,1,0.158231
32,1,1,1,1,0.151777
64,1,1,1,1,0.154489
128,1,1,1,1,0.148798
256,1,1,1,1,0.129966
512,1,1,1,1,0.075727
1,2,1,1,1,0.079468
2,2,1,1,1,0.0787916
3,2,1,1,1,0.14268
4,2,1,1,1,0.110599
5,2,1,1,1,0.117156
7,2,1,1,1,0.112398
8,2,1,1,1,0.105627
16,2,1,1,1,0.103132
32,2,1,1,1,0.103983
64,2,1,1,1,0.102492
128,2,1,1,1,0.102051
256,2,1,1,1,0.0988104
512,2,1,1,1,0.0798304
1,3,1,1,1,0.0719348
2,3,1,1,1,0.126225
3,3,1,1,1,0.105767
4,3,1,1,1,0.1217
5,3,1,1,1,0.121019
7,3,1,1,1,0.104353
8,3,1,1,1,0.11457
16,3,1,1,1,0.0998804
32,3,1,1,1,0.0979488
64,3,1,1,1,0.0954284
128,3,1,1,1,0.0948108
256,3,1,1,1,0.0941402
512,3,1,1,1,0.0715948
1,4,1,1,1,0.0713645
2,4,1,1,1,0.126751
3,4,1,1,1,0.222609
4,4,1,1,1,0.0770392
5,4,1,1,1,0.112785
7,4,1,1,1,0.119888
8,4,1,1,1,0.132811
16,4,1,1,1,0.0727469
32,4,1,1,1,0.13142
64,4,1,1,1,0.131244
128,4,1,1,1,0.131232
256,4,1,1,1,0.0871068
512,4,1,1,1,0.0978102
1,5,1,1,1,0.053475
2,5,1,1,1,0.126886
3,5,1,1,1,0.215371
4,5,1,1,1,0.195423
5,5,1,1,1,0.114027
7,5,1,1,1,0.115281
8,5,1,1,1,0.106925
16,5,1,1,1,0.105378
32,5,1,1,1,0.103713
64,5,1,1,1,0.0891076
128,5,1,1,1,0.101665
256,5,1,1,1,0.100189
512,5,1,1,1,0.0789296
1,6,1,1,1,0.0756404
2,6,1,1,1,0.126658
3,6,1,1,1,0.239907
4,6,1,1,1,0.195181
5,6,1,1,1,0.184095
7,6,1,1,1,0.102699
8,6,1,1,1,0.101933
16,6,1,1,1,0.104047
32,6,1,1,1,0.0948202
64,6,1,1,1,0.0942159
128,6,1,1,1,0.0921506
256,6,1,1,1,0.0700162
512,6,1,1,1,0.075465
1,7,1,1,1,0.0665091
2,7,1,1,1,0.126849
3,7,1,1,1,0.216163
4,7,1,1,1,0.195812
5,7,1,1,1,0.184329
7,7,1,1,1,0.0959246
8,7,1,1,1,0.08284
16,7,1,1,1,0.0987711
32,7,1,1,1,0.0926274
64,7,1,1,1,0.0717434
128,7,1,1,1,0.0864836
256,7,1,1,1,0.0729152
512,7,1,1,1,0.0713364
1,8,1,1,1,0.0736714
2,8,1,1,1,0.126607
3,8,1,1,1,0.214564
4,8,1,1,1,0.1957
5,8,1,1,1,0.184686
7,8,1,1,1,0.173473
8,8,1,1,1,0.0945366
16,8,1,1,1,0.0900614
32,8,1,1,1,0.0861764
64,8,1,1,1,0.0867808
128,8,1,1,1,0.0854211
256,8,1,1,1,0.0864242
512,8,1,1,1,0.0733671
1,16,1,1,1,0.067284
2,16,1,1,1,0.126723
3,16,1,1,1,0.215229
4,16,1,1,1,0.195958
5,16,1,1,1,0.187627
7,16,1,1,1,0.175768
8,16,1,1,1,0.171915
16,16,1,1,1,0.0763548
32,16,1,1,1,0.0694728
64,16,1,1,1,0.064982
128,16,1,1,1,0.0623909
256,16,1,1,1,0.0623205
512,16,1,1,1,0.0562854
1,31,1,1,1,0.081559
2,31,1,1,1,0.126658
3,31,1,1,1,0.216144
4,31,1,1,1,0.20241
5,31,1,1,1,0.184582
7,31,1,1,1,0.174289
8,31,1,1,1,0.171236
16,31,1,1,1,0.159071
32,31,1,1,1,0.0899674
64,31,1,1,1,0.0868758
128,31,1,1,1,0.0860168
256,31,1,1,1,0.0852261
512,31,1,1,1,0.0790286
1,1,0,1,2,0.0389381
2,1,0,1,2,0.0662519
3,1,0,1,2,0.177836
4,1,0,1,2,0.178543
5,1,0,1,2,0.178888
7,1,0,1,2,0.177969
8,1,0,1,2,0.17848
16,1,0,1,2,0.179412
32,1,0,1,2,0.180215
64,1,0,1,2,0.180417
128,1,0,1,2,0.180598
256,1,0,1,2,0.068593
512,1,0,1,2,0.0757042
1,2,0,1,2,0.0415018
2,2,0,1,2,0.061326
3,2,0,1,2,0.0934644
4,2,0,1,2,0.0695068
5,2,0,1,2,0.0794442
7,2,0,1,2,0.0762763
8,2,0,1,2,0.0694034
16,2,0,1,2,0.0684683
32,2,0,1,2,0.0692024
64,2,0,1,2,0.0691222
128,2,0,1,2,0.0696322
256,2,0,1,2,0.0688075
512,2,0,1,2,0.0845916
1,3,0,1,2,0.0407146
2,3,0,1,2,0.0666444
3,3,0,1,2,0.0646459
4,3,0,1,2,0.0831198
5,3,0,1,2,0.086683
7,3,0,1,2,0.067701
8,3,0,1,2,0.0791588
16,3,0,1,2,0.0642889
32,3,0,1,2,0.0634166
64,3,0,1,2,0.0612692
128,3,0,1,2,0.0585446
256,3,0,1,2,0.0599356
512,3,0,1,2,0.0601543
1,4,0,1,2,0.050713
2,4,0,1,2,0.066708
3,4,0,1,2,0.178108
4,4,0,1,2,0.0700048
5,4,0,1,2,0.0683196
7,4,0,1,2,0.0896241
8,4,0,1,2,0.0704576
16,4,0,1,2,0.0696363
32,4,0,1,2,0.0703877
64,4,0,1,2,0.0689146
128,4,0,1,2,0.068871
256,4,0,1,2,0.0694037
512,4,0,1,2,0.0862264
1,5,0,1,2,0.0403058
2,5,0,1,2,0.0660686
3,5,0,1,2,0.176139
4,5,0,1,2,0.177394
5,5,0,1,2,0.0572644
7,5,0,1,2,0.07392
8,5,0,1,2,0.083919
16,5,0,1,2,0.057147
32,5,0,1,2,0.0579889
64,5,0,1,2,0.0589091
128,5,0,1,2,0.0572025
256,5,0,1,2,0.0569916
512,5,0,1,2,0.0782618
1,6,0,1,2,0.0283207
2,6,0,1,2,0.0669654
3,6,0,1,2,0.177965
4,6,0,1,2,0.178421
5,6,0,1,2,0.176802
7,6,0,1,2,0.062741
8,6,0,1,2,0.0705949
16,6,0,1,2,0.0691086
32,6,0,1,2,0.0613306
64,6,0,1,2,0.058829
128,6,0,1,2,0.0568782
256,6,0,1,2,0.0572418
512,6,0,1,2,0.0604434
1,7,0,1,2,0.0373674
2,7,0,1,2,0.0663724
3,7,0,1,2,0.198908
4,7,0,1,2,0.17775
5,7,0,1,2,0.179883
7,7,0,1,2,0.0531298
8,7,0,1,2,0.0631499
16,7,0,1,2,0.0611908
32,7,0,1,2,0.0630948
64,7,0,1,2,0.054348
128,7,0,1,2,0.0538782
256,7,0,1,2,0.0546864
512,7,0,1,2,0.0744534
1,8,0,1,2,0.041656
2,8,0,1,2,0.0661771
3,8,0,1,2,0.178316
