gratio,rhorx,rhory,rhohx,rhohy,rhoratio,sgrain,ortho,ExecTime
1.28,8,8,10,10,0.5,32,16,1.96098
1.28,8,8,10,10,0.5,32,32,2.02234
1.28,8,8,10,10,0.5,64,16,2.16734
1.28,8,8,10,10,0.5,64,32,2.14834
1.28,8,8,10,10,0.5,128,16,3.17919
1.28,8,8,10,10,0.5,128,32,2.67011
1.28,8,8,10,10,1,32,16,1.83647
1.28,8,8,10,10,1,32,32,1.88988
1.28,8,8,10,10,1,64,16,2.08393
1.28,8,8,10,10,1,64,32,2.06427
1.28,8,8,10,10,1,128,16,3.12976
1.28,8,8,10,10,1,128,32,2.62273
1.28,8,8,10,10,2,32,16,1.87486
1.28,8,8,10,10,2,32,32,1.88065
1.28,8,8,10,10,2,64,16,2.07712
1.28,8,8,10,10,2,64,32,2.01219
1.28,8,8,10,10,2,128,16,3.12416
1.28,8,8,10,10,2,128,32,2.57781
1.28,8,8,10,20,0.5,32,16,2.01246
1.28,8,8,10,20,0.5,32,32,2.01337
1.28,8,8,10,20,0.5,64,16,2.14753
1.28,8,8,10,20,0.5,64,32,2.1583
1.28,8,8,10,20,0.5,128,16,3.18907
1.28,8,8,10,20,0.5,128,32,2.69907
1.28,8,8,10,20,1,32,16,1.86888
1.28,8,8,10,20,1,32,32,1.92565
1.28,8,8,10,20,1,64,16,2.10275
1.28,8,8,10,20,1,64,32,2.06648
1.28,8,8,10,20,1,128,16,3.16139
1.28,8,8,10,20,1,128,32,2.64836
1.28,8,8,10,20,2,32,16,1.8649
1.28,8,8,10,20,2,32,32,1.91634
1.28,8,8,10,20,2,64,16,2.08355
1.28,8,8,10,20,2,64,32,2.06634
1.28,8,8,10,20,2,128,16,3.11459
1.28,8,8,10,20,2,128,32,2.64359
1.28,8,8,10,35,0.5,32,16,1.94729
1.28,8,8,10,35,0.5,32,32,1.98105
1.28,8,8,10,35,0.5,64,16,2.20394
1.28,8,8,10,35,0.5,64,32,2.1444
1.28,8,8,10,35,0.5,128,16,3.15149
1.28,8,8,10,35,0.5,128,32,2.67309
1.28,8,8,10,35,1,32,16,1.86639
1.28,8,8,10,35,1,32,32,1.88192
1.28,8,8,10,35,1,64,16,2.08258
1.28,8,8,10,35,1,64,32,2.08104
1.28,8,8,10,35,1,128,16,3.13406
1.28,8,8,10,35,1,128,32,2.61276
1.28,8,8,10,35,2,32,16,1.89024
1.28,8,8,10,35,2,32,32,1.8873
1.28,8,8,10,35,2,64,16,2.05317
1.28,8,8,10,35,2,64,32,2.00273
1.28,8,8,10,35,2,128,16,3.11799
1.28,8,8,10,35,2,128,32,2.61156
1.28,8,8,10,70,0.5,32,16,1.99091
1.28,8,8,10,70,0.5,32,32,1.99824
1.28,8,8,10,70,0.5,64,16,2.17539
1.28,8,8,10,70,0.5,64,32,2.13978
1.28,8,8,10,70,0.5,128,16,3.16165
1.28,8,8,10,70,0.5,128,32,2.69224
1.28,8,8,10,70,1,32,16,1.89954
1.28,8,8,10,70,1,32,32,1.85956
1.28,8,8,10,70,1,64,16,2.04827
1.28,8,8,10,70,1,64,32,2.03685
1.28,8,8,10,70,1,128,16,3.11268
1.28,8,8,10,70,1,128,32,2.62093
1.28,8,8,10,70,2,32,16,1.814
1.28,8,8,10,70,2,32,32,1.84958
1.28,8,8,10,70,2,64,16,2.05997
1.28,8,8,10,70,2,64,32,2.01932
1.28,8,8,10,70,2,128,16,3.06633
1.28,8,8,10,70,2,128,32,2.59416
1.28,8,8,20,10,0.5,32,16,1.95568
1.28,8,8,20,10,0.5,32,32,2.01558
1.28,8,8,20,10,0.5,64,16,2.13571
1.28,8,8,20,10,0.5,64,32,2.17153
1.28,8,8,20,10,0.5,128,16,3.17187
1.28,8,8,20,10,0.5,128,32,2.68932
1.28,8,8,20,10,1,32,16,1.85938
1.28,8,8,20,10,1,32,32,1.89591
1.28,8,8,20,10,1,64,16,2.06411
1.28,8,8,20,10,1,64,32,2.04089
1.28,8,8,20,10,1,128,16,3.12657
1.28,8,8,20,10,1,128,32,2.62311
1.28,8,8,20,10,2,32,16,1.88732
1.28,8,8,20,10,2,32,32,1.93219
1.28,8,8,20,10,2,64,16,2.0816
1.28,8,8,20,10,2,64,32,2.05736
1.28,8,8,20,10,2,128,16,3.11362
1.28,8,8,20,10,2,128,32,2.61782
1.28,8,8,20,20,0.5,32,16,1.94098
1.28,8,8,20,20,0.5,32,32,2.03815
1.28,8,8,20,20,0.5,64,16,2.18641
1.28,8,8,20,20,0.5,64,32,2.13582
1.28,8,8,20,20,0.5,128,16,3.15615
1.28,8,8,20,20,0.5,128,32,2.69608
1.28,8,8,20,20,1,32,16,1.88779
1.28,8,8,20,20,1,32,32,1.91068
1.28,8,8,20,20,1,64,16,2.12522
1.28,8,8,20,20,1,64,32,2.03559
1.28,8,8,20,20,1,128,16,3.11209
1.28,8,8,20,20,1,128,32,2.67493
1.28,8,8,20,20,2,32,16,1.8545
1.28,8,8,20,20,2,32,32,1.91933
1.28,8,8,20,20,2,64,16,2.05024
1.28,8,8,20,20,2,64,32,2.0123
1.28,8,8,20,20,2,128,16,3.07014
1.28,8,8,20,20,2,128,32,2.58959
1.28,8,8,20,35,0.5,32,16,1.95772
1.28,8,8,20,35,0.5,32,32,2.03547
1.28,8,8,20,35,0.5,64,16,2.20128
1.28,8,8,20,35,0.5,64,32,2.1235
1.28,8,8,20,35,0.5,128,16,3.16228
1.28,8,8,20,35,0.5,128,32,2.69087
1.28,8,8,20,35,1,32,16,1.84505
1.28,8,8,20,35,1,32,32,1.90766
1.28,8,8,20,35,1,64,16,2.07461
1.28,8,8,20,35,1,64,32,2.04601
1.28,8,8,20,35,1,128,16,3.07298
1.28,8,8,20,35,1,128,32,2.62969
1.28,8,8,20,35,2,32,16,1.83307
1.28,8,8,20,35,2,32,32,1.90284
1.28,8,8,20,35,2,64,16,2.08761
1.28,8,8,20,35,2,64,32,2.02218
1.28,8,8,20,35,2,128,16,3.08761
1.28,8,8,20,35,2,128,32,2.58291
1.28,8,8,20,70,0.5,32,16,1.99067
1.28,8,8,20,70,0.5,32,32,2.06968
1.28,8,8,20,70,0.5,64,16,2.15549
1.28,8,8,20,70,0.5,64,32,2.11353
1.28,8,8,20,70,0.5,128,16,3.13638
1.28,8,8,20,70,0.5,128,32,2.6784
1.28,8,8,20,70,1,32,16,1.93837
1.28,8,8,20,70,1,32,32,1.99334
1.28,8,8,20,70,1,64,16,2.12101
1.28,8,8,20,70,1,64,32,2.08191
1.28,8,8,20,70,1,128,16,3.15849
1.28,8,8,20,70,1,128,32,2.66802
1.28,8,8,20,70,2,32,16,1.90218
1.28,8,8,20,70,2,32,32,1.97602
1.28,8,8,20,70,2,64,16,2.11559
1.28,8,8,20,70,2,64,32,2.07083
1.28,8,8,20,70,2,128,16,3.1469
1.28,8,8,20,70,2,128,32,2.63701
1.28,8,8,35,10,0.5,32,16,1.98751
1.28,8,8,35,10,0.5,32,32,2.0092
1.28,8,8,35,10,0.5,64,16,2.17742
1.28,8,8,35,10,0.5,64,32,2.18023
1.28,8,8,35,10,0.5,128,16,3.15573
1.28,8,8,35,10,0.5,128,32,2.67144
1.28,8,8,35,10,1,32,16,1.86727
1.28,8,8,35,10,1,32,32,1.89612
1.28,8,8,35,10,1,64,16,2.07594
1.28,8,8,35,10,1,64,32,2.03006
1.28,8,8,35,10,1,128,16,3.1426
1.28,8,8,35,10,1,128,32,2.61716
1.28,8,8,35,10,2,32,16,1.83679
1.28,8,8,35,10,2,32,32,1.85254
1.28,8,8,35,10,2,64,16,2.08487
1.28,8,8,35,10,2,64,32,1.99326
1.28,8,8,35,10,2,128,16,3.09973
1.28,8,8,35,10,2,128,32,2.62466
1.28,8,8,35,20,0.5,32,16,1.91975
1.28,8,8,35,20,0.5,32,32,2.00063
1.28,8,8,35,20,0.5,64,16,2.19614
1.28,8,8,35,20,0.5,64,32,2.16604
1.28,8,8,35,20,0.5,128,16,3.15789
1.28,8,8,35,20,0.5,128,32,2.68173
1.28,8,8,35,20,1,32,16,1.90414
1.28,8,8,35,20,1,32,32,1.89099
1.28,8,8,35,20,1,64,16,2.05067
1.28,8,8,35,20,1,64,32,2.04956
1.28,8,8,35,20,1,128,16,3.13743
1.28,8,8,35,20,1,128,32,2.6222
1.28,8,8,35,20,2,32,16,1.81886
1.28,8,8,35,20,2,32,32,1.88661
1.28,8,8,35,20,2,64,16,2.05627
1.28,8,8,35,20,2,64,32,2.00534
1.28,8,8,35,20,2,128,16,3.11326
1.28,8,8,35,20,2,128,32,2.57728
1.28,8,8,35,35,0.5,32,16,1.98648
1.28,8,8,35,35,0.5,32,32,1.9929
1.28,8,8,35,35,0.5,64,16,2.16458
1.28,8,8,35,35,0.5,64,32,2.11959
1.28,8,8,35,35,0.5,128,16,3.19739
1.28,8,8,35,35,0.5,128,32,2.68939
1.28,8,8,35,35,1,32,16,1.89804
1.28,8,8,35,35,1,32,32,1.93764
1.28,8,8,35,35,1,64,16,2.10014
1.28,8,8,35,35,1,64,32,2.07411
1.28,8,8,35,35,1,128,16,3.18248
1.28,8,8,35,35,1,128,32,2.67417
1.28,8,8,35,35,2,32,16,1.88221
1.28,8,8,35,35,2,32,32,1.95987
1.28,8,8,35,35,2,64,16,2.07587
1.28,8,8,35,35,2,64,32,2.05672
1.28,8,8,35,35,2,128,16,3.11614
1.28,8,8,35,35,2,128,32,2.60751
1.28,8,8,35,70,0.5,32,16,2.29758
1.28,8,8,35,70,0.5,32,32,2.29476
1.28,8,8,35,70,0.5,64,16,2.5097
1.28,8,8,35,70,0.5,64,32,2.41805
1.28,8,8,35,70,0.5,128,16,3.51594
1.28,8,8,35,70,0.5,128,32,2.95852
1.28,8,8,35,70,1,32,16,2.28173
1.28,8,8,35,70,1,32,32,2.34701
1.28,8,8,35,70,1,64,16,2.43276
1.28,8,8,35,70,1,64,32,2.39266
1.28,8,8,35,70,1,128,16,3.4468
1.28,8,8,35,70,1,128,32,2.96168
1.28,8,8,35,70,2,32,16,2.42279
1.28,8,8,35,70,2,32,32,2.46703
1.28,8,8,35,70,2,64,16,2.63612
1.28,8,8,35,70,2,64,32,2.58236
1.28,8,8,35,70,2,128,16,3.61816
1.28,8,8,35,70,2,128,32,3.12453
1.28,8,8,70,10,0.5,32,16,1.95801
1.28,8,8,70,10,0.5,32,32,1.95933
1.28,8,8,70,10,0.5,64,16,2.16628
1.28,8,8,70,10,0.5,64,32,2.12174
