Nodes_16,Input_12000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_2000,ScatteringOrder_l9,Nodes_64
1.0,1.0,1.0,32.1622,98.32540625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,55,0,1.38911412709e+12,5.4908,842269868.125,2.4389,34.6515,1573.2065,514.5952,105.6765,0.0,0.0,0.0
1.0,1.0,1.0,32.921725,107.47134375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,60,0,1.36701780276e+12,6.1584,807753431.562,2.6556,35.8827,1719.5415,526.7476,92.754,0.0,0.0,0.0
1.0,1.0,1.0,33.4622125,113.8449,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,65,0,1.34447878917e+12,6.4983,785913946.688,2.7554,35.8888,1821.5184,535.3954,86.3097,0.0,0.0,0.0
1.0,1.0,1.0,33.84014375,117.42366875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,70,0,1.3217853577e+12,6.8429,748812407.875,2.7907,37.5819,1878.7787,541.4423,80.7014,0.0,0.0,0.0
1.0,1.0,1.0,34.0729875,118.52405,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,75,0,1.31227527996e+12,6.9502,739507391.75,2.8002,37.6077,1896.3848,545.1678,78.8989,0.0,0.0,0.0
1.0,1.0,1.0,33.7339625,117.81058125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,80,0,1.32791139597e+12,6.772,759879552.25,2.8025,37.9413,1884.9693,539.7434,81.9036,0.0,0.0,0.0
1.0,1.0,1.0,33.88674375,117.98761875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,85,0,1.32254848334e+12,6.8468,750551605.312,2.8015,37.9357,1887.8019,542.1879,80.7277,0.0,0.0,0.0
1.0,1.0,1.0,33.9605125,118.46423125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,90,0,1.31853789643e+12,6.8755,748189589.938,2.801,38.4357,1895.4277,543.3682,80.1023,0.0,0.0,0.0
1.0,1.0,1.0,33.8708625,118.556475,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,95,0,1.31707949263e+12,6.918,744587055.188,2.8008,38.6268,1896.9036,541.9338,79.531,0.0,0.0,0.0
1.0,1.0,1.0,34.01820625,117.547475,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,1,1.0,4,100,0,1.31654606038e+12,6.9164,744504952.938,2.8014,34.6106,1880.7596,544.2913,79.4994,0.0,0.0,0.0
1.0,1.0,1.0,32.1007375,98.334575,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,55,0,1.3961135766e+12,5.6364,800093345.688,2.4347,34.3675,1573.3532,513.6118,103.6229,0.0,0.0,0.0
1.0,1.0,1.0,32.78700625,107.5720875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,60,0,1.3731200568e+12,6.2925,774381066.625,2.6541,35.4608,1721.1534,524.5921,91.1272,0.0,0.0,0.0
1.0,1.0,1.0,33.36048125,114.275775,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,65,0,1.34452528979e+12,6.693,753367863.062,2.7577,35.561,1828.4124,533.7677,83.9064,0.0,0.0,0.0
1.0,1.0,1.0,33.6140375,117.4824,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,70,0,1.32584781876e+12,6.9304,729286617.875,2.7913,37.2078,1879.7184,537.8246,79.9005,0.0,0.0,0.0
1.0,1.0,1.0,33.75354375,118.35069375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,75,0,1.3195296134e+12,7.0032,725632294.375,2.7999,37.3524,1893.6111,540.0567,78.6979,0.0,0.0,0.0
1.0,1.0,1.0,33.72003125,118.33991875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,80,0,1.32266235641e+12,6.9843,728803071.688,2.8019,37.9112,1893.4387,539.5205,79.0985,0.0,0.0,0.0
1.0,1.0,1.0,33.53508125,117.8848375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,85,0,1.33246698483e+12,6.8784,738831907.25,2.8021,37.8496,1886.1574,536.5613,80.9023,0.0,0.0,0.0
1.0,1.0,1.0,33.6473625,118.4935875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,2,1.0,4,90,0,1.32703518891e+12,6.9527,730215426.438,2.8009,38.5205,1895.8974,538.3578,79.7004,0.0,0.0,0.0
