busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_async,loader_async_threads,loader_batch_size,loader_pes_per_node,loader_progress_thread,pep_ibatch_size,pep_no_preloading,pep_no_rdma,pep_num_threads,pep_obatch_size,pep_pes_per_node,pep_progress_thread,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
True,10,4,23,49,32,fifo,True,True,45,367,8,False,887,False,False,27,29,1,False,1,-5.210941325642565,0.2635681629180908,0.27341222763061523,0.26360416412353516,0.2732810974121094
True,6,2,2,26,8,fifo,False,True,5,938,8,True,87,True,False,2,202,2,False,2,-4.370376049697832,0.6077010631561279,0.6202940940856934,0.6077401638031006,0.6200592517852783
True,10,7,20,26,16,fifo,False,True,29,785,2,False,145,False,True,31,16,8,True,3,-4.486237824173172,0.9474020004272461,0.9573521614074707,0.9474411010742188,0.9572300910949707
True,15,14,1,26,1,fifo_wait,False,True,11,119,4,False,9,False,False,8,416,1,True,4,-4.473084609406518,1.299032211303711,1.3111763000488281,1.299086093902588,1.3109922409057617
False,12,8,9,41,2,fifo,True,False,23,1106,4,False,269,False,True,10,108,2,False,5,-4.752564917377348,1.6481530666351318,1.6579692363739014,1.6481893062591553,1.6578490734100342
True,13,12,9,2,8,fifo_wait,False,True,55,1905,4,True,90,True,True,5,22,8,True,6,-4.790102039886058,1.981632947921753,1.9914350509643555,1.9816701412200928,1.9912950992584229
True,13,13,25,52,16,fifo_wait,False,True,32,22,4,True,63,False,True,12,114,1,True,7,-4.907813555981987,2.3110289573669434,2.3209033012390137,2.311066150665283,2.3207600116729736
False,16,4,24,49,8,fifo,True,False,2,56,4,False,94,False,False,28,67,16,False,8,-4.667821476642911,2.664584159851074,2.6772122383117676,2.664652109146118,2.677001953125
False,5,7,14,58,16,fifo_wait,True,False,11,212,16,False,39,False,True,8,10,32,True,9,-3.2719557274626108,3.014035224914551,3.023916006088257,3.0140721797943115,3.023782253265381
True,6,13,1,50,32,fifo_wait,True,False,8,79,16,False,231,False,True,1,13,8,True,10,-3.493101815029858,3.3415300846099854,3.350856304168701,3.341567039489746,3.350733995437622
False,10,10,9,63,2,fifo_wait,True,False,44,860,8,False,8,False,False,11,197,32,True,11,-3.509683448773017,4.293392181396484,4.314441204071045,4.293544292449951,4.312982082366943
False,1,1,32,54,32,fifo_wait,True,True,1,3,8,False,1024,True,True,5,8,16,True,12,-5.2257884491464495,5.302907228469849,5.322226285934448,5.304465293884277,5.320186138153076
False,1,1,31,46,32,fifo_wait,False,False,1,1,16,True,1024,False,True,1,8,8,True,13,-5.312692973727602,6.252362012863159,6.26439905166626,6.2525341510772705,6.264088153839111
True,1,1,1,0,32,fifo_wait,True,False,1,1,1,False,1024,True,False,1,8,1,True,14,-5.481052098732228,7.3001861572265625,7.3148112297058105,7.300384998321533,7.314441204071045
False,1,1,18,48,32,fifo_wait,True,False,3,32,4,False,134,False,True,11,8,8,True,15,-4.877126621213538,8.29800820350647,8.314208030700684,8.298180103302002,8.31318712234497
True,16,16,1,0,32,fifo,False,True,63,2048,16,False,1024,True,False,1,1024,1,True,16,-4.799509274449245,9.39919114112854,9.45429515838623,9.399343252182007,9.453965187072754
False,1,1,32,0,32,fifo_wait,False,False,63,1,16,False,1024,False,True,31,8,1,True,17,-5.456645854945483,10.527031183242798,10.547637939453125,10.527181148529053,10.54731798171997
False,5,16,32,0,32,fifo_wait,True,False,26,265,2,False,174,True,False,27,268,8,True,18,-5.424775636217299,11.50742506980896,11.532961130142212,11.507577180862427,11.532664060592651
True,16,16,1,0,1,fifo,False,True,1,2048,16,True,1024,False,True,1,1024,1,True,19,-4.469431077804302,12.629589080810547,12.653654098510742,12.633733034133911,12.64569902420044
True,16,16,1,63,1,fifo_wait,False,True,4,1880,16,True,8,False,False,1,1024,1,True,20,-4.2762065455405205,13.687855243682861,13.708145141601562,13.688009262084961,13.707847118377686
True,13,15,11,63,2,fifo_wait,True,True,11,244,8,False,35,False,True,31,281,8,True,21,-4.0400408432206865,14.838102102279663,14.854365110397339,14.838256120681763,14.854048013687134
True,12,11,32,63,1,fifo,True,False,1,831,16,False,857,False,False,5,1024,1,True,22,-4.291288598009366,15.935164213180542,15.949329137802124,15.935315132141113,15.949015140533447
True,15,2,18,33,16,fifo_wait,False,True,1,9,8,True,57,True,True,4,9,8,True,23,-5.034566769289869,17.138110160827637,17.14850616455078,17.138289213180542,17.14818501472473
True,1,3,1,63,32,fifo_wait,True,True,63,2048,16,False,8,False,False,30,12,32,True,24,-4.356397490444109,18.185899019241333,18.199632167816162,18.1860511302948,18.197448253631592
True,16,16,1,0,1,fifo_wait,False,False,1,454,16,True,8,False,True,1,728,1,True,25,-4.4859998223977255,19.448507070541382,19.470099925994873,19.44866108894348,19.467681169509888
False,9,10,1,63,1,fifo_wait,True,True,1,90,16,False,656,False,False,21,69,32,True,26,-3.8062386754553543,20.537167072296143,20.548991918563843,20.537312984466553,20.548628091812134
True,16,11,1,0,1,fifo,False,False,6,2048,16,False,8,False,True,1,8,32,True,27,-4.136850290523924,21.692568063735962,21.73641324043274,21.692776203155518,21.73548412322998
True,9,10,5,0,16,fifo,True,True,7,2048,2,True,82,False,False,5,152,32,True,28,-5.0498963787617654,22.78977108001709,22.810680150985718,22.789924144744873,22.81036114692688
False,1,16,3,46,1,fifo,False,False,20,410,16,False,8,False,True,1,8,32,True,29,-3.594912332099983,23.94139814376831,23.95494818687439,23.941545963287354,23.954586029052734
False,13,9,1,63,8,fifo,False,True,63,158,16,True,900,True,False,1,10,32,True,30,-4.469162381815862,25.15311908721924,25.176815032958984,25.153277158737183,25.17652130126953
False,16,11,32,63,1,fifo_wait,True,False,17,116,16,False,333,False,True,11,47,32,True,31,-3.655513285289214,26.575358152389526,26.59308695793152,26.575509071350098,26.59217405319214
False,1,16,1,63,1,fifo,True,False,1,1,16,True,26,False,True,1,1024,2,False,32,-5.508971639028177,27.845781087875366,27.866799116134644,27.846580982208252,27.865414142608643
True,8,2,16,63,32,fifo,False,True,22,225,8,False,30,False,False,1,206,32,True,33,-3.467276082807426,29.30471706390381,29.321064233779907,29.30691623687744,29.320760011672974
False,1,16,25,63,32,fifo,True,False,8,222,16,False,1024,False,False,1,1024,32,True,34,-3.686268101015692,30.660905361175537,30.680225133895874,30.6622371673584,30.678014278411865
False,8,16,10,63,2,fifo_wait,True,True,1,168,16,False,8,False,False,1,1024,32,False,35,-4.130751282931446,32.21507930755615,32.2309889793396,32.21523404121399,32.22758603096008
False,11,9,1,63,16,fifo,False,True,6,342,16,False,11,False,True,1,8,16,True,36,-3.3495163618582,33.74532127380371,33.76703715324402,33.745532274246216,33.76623320579529
True,11,1,32,63,8,fifo,False,True,63,186,16,False,219,False,True,10,8,32,True,37,-3.8166122997355925,35.79763913154602,35.812448024749756,35.79779410362244,35.81213998794556
True,14,7,1,63,16,fifo_wait,False,True,55,317,16,False,52,False,False,1,40,32,True,38,-3.7329708780234956,37.893086194992065,37.92605519294739,37.89324426651001,37.924296140670776
True,9,14,28,45,4,fifo_wait,True,False,6,2048,16,False,552,False,False,1,1024,32,True,39,-3.585464111081076,39.644042015075684,39.66158413887024,39.64420032501221,39.65989804267883
False,8,16,1,63,2,fifo_wait,False,True,33,46,16,False,8,False,True,1,8,32,True,40,-3.8775526000762177,41.300058126449585,41.33610701560974,41.30024695396423,41.33578705787659
False,9,8,8,45,4,fifo,True,False,8,239,16,True,8,False,False,1,8,32,True,41,-3.1913330745885395,43.09834909439087,43.115063190460205,43.098504304885864,43.114705085754395
False,13,1,15,51,2,fifo_wait,True,False,4,930,8,False,26,False,False,1,8,32,True,42,-3.2556315472098225,44.73235726356506,44.749314069747925,44.73253011703491,44.74645805358887
True,9,9,12,63,8,fifo_wait,False,False,7,458,8,True,48,False,True,1,8,32,True,43,-3.297438436779993,46.73255705833435,46.75101613998413,46.732710123062134,46.75063920021057
True,1,6,6,63,32,fifo,True,False,1,374,16,False,466,False,False,1,8,32,True,44,-3.2390707026990264,48.48866415023804,48.50085711479187,48.488837242126465,48.50052499771118
False,6,4,1,63,32,fifo,True,True,4,264,8,False,38,False,False,1,8,32,True,45,-3.2799208941599747,50.27999305725098,50.29584002494812,50.28015208244324,50.29516005516052
True,12,1,32,63,1,fifo_wait,True,True,6,452,16,False,514,False,False,1,8,32,True,46,-3.4487075841797674,52.06273818016052,52.079944133758545,52.06289505958557,52.07897901535034
False,6,5,9,63,32,fifo_wait,True,False,1,336,16,True,43,False,False,1,8,16,True,47,-3.176095935393235,53.849239110946655,53.86773610115051,53.84944725036621,53.862241983413696
