busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_async,loader_async_threads,loader_batch_size,loader_pes_per_node,loader_progress_thread,pep_ibatch_size,pep_no_preloading,pep_no_rdma,pep_num_threads,pep_obatch_size,pep_pes_per_node,pep_progress_thread,job_id,objective,timestamp_submit,timestamp_gather,timestamp_start,timestamp_end
True,10,4,23,49,32,fifo,True,True,45,367,8,False,887,False,False,27,29,1,False,1,-5.210941325642565,0.07070088386535645,0.07882881164550781,0.07074213027954102,0.07870817184448242
True,6,2,2,26,8,fifo,False,True,5,938,8,True,87,True,False,2,202,2,False,2,-4.370376049697832,0.19823122024536133,0.20612096786499023,0.19826602935791016,0.20600414276123047
True,10,7,20,26,16,fifo,False,True,29,785,2,False,145,False,True,31,16,8,True,3,-4.486237824173172,0.3269059658050537,0.33533191680908203,0.32694315910339355,0.3352069854736328
True,15,14,1,26,1,fifo_wait,False,True,11,119,4,False,9,False,False,8,416,1,True,4,-4.473084609406518,0.4544789791107178,0.4623880386352539,0.4545161724090576,0.46227097511291504
False,12,8,9,41,2,fifo,True,False,23,1106,4,False,269,False,True,10,108,2,False,5,-4.752564917377348,0.5975818634033203,0.605633020401001,0.5976190567016602,0.6055099964141846
True,13,12,9,2,8,fifo_wait,False,True,55,1905,4,True,90,True,True,5,22,8,True,6,-4.790102039886058,0.7253870964050293,0.7335529327392578,0.7254228591918945,0.7334301471710205
True,13,13,25,52,16,fifo_wait,False,True,32,22,4,True,63,False,True,12,114,1,True,7,-4.907813555981987,0.8530268669128418,0.860882043838501,0.8530619144439697,0.8607640266418457
False,16,4,24,49,8,fifo,True,False,2,56,4,False,94,False,False,28,67,16,False,8,-4.667821476642911,0.9796130657196045,0.9876549243927002,0.9796481132507324,0.9875390529632568
False,5,7,14,58,16,fifo_wait,True,False,11,212,16,False,39,False,True,8,10,32,True,9,-3.2719557274626108,1.1081931591033936,1.1163489818572998,1.1082298755645752,1.1162230968475342
True,6,13,1,50,32,fifo_wait,True,False,8,79,16,False,231,False,True,1,13,8,True,10,-3.493101815029858,1.2504820823669434,1.258533000946045,1.250519037246704,1.258411169052124
False,2,8,24,63,16,fifo_wait,True,False,10,17,16,False,1024,True,False,11,1024,16,True,11,-5.0637452746741705,1.8119590282440186,1.8201191425323486,1.812006950378418,1.8199970722198486
True,3,14,19,57,32,fifo_wait,False,False,10,332,8,False,1024,False,True,24,1024,32,True,12,-4.067402275945193,2.393376111984253,2.4017140865325928,2.393425941467285,2.401585102081299
False,3,7,7,63,16,fifo,True,False,40,156,16,False,1024,True,True,5,1024,32,True,13,-4.534792560939282,2.9608709812164307,2.9689199924468994,2.960919141769409,2.9687960147857666
False,2,4,1,45,4,fifo_wait,True,False,12,72,16,False,1024,False,True,6,1024,8,False,14,-3.993648734263939,3.5318098068237305,3.5398240089416504,3.531860113143921,3.5397021770477295
True,7,12,10,50,16,fifo_wait,True,True,10,294,8,False,1024,False,True,7,1024,8,False,15,-3.907303786960051,4.12812614440918,4.136500120162964,4.128173828125,4.136366844177246
False,5,10,25,31,16,fifo_wait,True,False,14,76,16,False,1024,False,False,9,1024,16,True,16,-3.6649738744025937,4.706692934036255,4.714674949645996,4.70674204826355,4.714554071426392
False,3,4,26,63,16,fifo_wait,True,False,20,145,8,False,1024,False,True,10,1024,16,True,17,-3.637889822275076,5.304234027862549,5.312678098678589,5.304282903671265,5.312547922134399
False,8,8,12,60,16,fifo_wait,True,False,18,1840,16,False,1024,False,True,3,1024,32,True,18,-3.3503677794860622,5.890765905380249,5.89887809753418,5.890815019607544,5.898761034011841
False,5,10,27,40,16,fifo_wait,True,False,12,1180,8,False,1024,False,False,6,1024,32,True,19,-3.607332126978533,6.489150047302246,6.497579097747803,6.489199876785278,6.4974589347839355
False,16,1,27,62,16,fifo_wait,True,False,10,10,16,False,1024,False,True,4,1024,16,True,20,-4.92181058717754,7.076766014099121,7.084780216217041,7.076816082000732,7.084657907485962
False,9,3,12,51,8,fifo_wait,True,False,38,1400,4,False,1024,False,True,3,1024,32,True,21,-3.957728040715257,7.674952030181885,7.683096885681152,7.675001859664917,7.6829750537872314
False,11,14,1,46,32,fifo_wait,True,False,10,205,4,True,1024,False,True,3,1024,32,True,22,-3.997456841324337,8.259085893630981,8.267250061035156,8.259135007858276,8.267128944396973
False,3,6,15,63,4,fifo_wait,True,False,24,10,16,False,1024,False,True,19,1024,16,True,23,-5.251427018767801,8.851280927658081,8.859230041503906,8.85132908821106,8.859108924865723
False,6,16,23,56,16,fifo_wait,True,False,10,12,4,False,1024,False,True,18,1024,16,True,24,-5.256397836015644,9.461766004562378,9.469949960708618,9.461814165115356,9.469830989837646
False,3,5,14,61,32,fifo_wait,True,False,10,387,16,True,1024,False,True,5,1024,16,True,25,-3.2895048410425387,10.06169605255127,10.069809913635254,10.061744928359985,10.069689989089966
False,1,8,21,55,32,fifo_wait,True,False,11,143,16,True,1024,False,True,20,1024,8,True,26,-4.003020275760183,10.68050503730774,10.688720941543579,10.680558919906616,10.688599109649658
False,9,15,20,51,16,fifo_wait,True,False,20,425,16,False,1024,False,False,4,1024,16,True,27,-3.580953684655233,11.280148029327393,11.288182020187378,11.280196905136108,11.288058042526245
False,6,9,30,46,32,fifo_wait,True,False,10,909,16,False,1024,False,True,6,1024,32,True,28,-3.5917157903386316,11.8956618309021,11.903873205184937,11.89571213722229,11.90375304222107
False,7,13,16,40,16,fifo_wait,True,False,10,779,8,False,1024,False,True,6,1024,16,True,29,-3.4105924128101814,12.495790004730225,12.503983974456787,12.495840072631836,12.503863096237183
False,7,8,14,41,16,fifo_wait,True,False,10,10,16,False,1024,False,False,2,1024,16,True,30,-4.944554962768462,13.110131978988647,13.118299961090088,13.110180854797363,13.118176221847534
False,7,2,21,62,16,fifo_wait,True,False,58,874,8,False,1024,False,False,17,1024,32,True,31,-3.982872882373556,13.71108603477478,13.719370126724243,13.711137056350708,13.719243049621582
False,6,13,18,26,16,fifo_wait,True,False,11,95,8,False,1024,False,True,8,1024,32,True,32,-3.503673981902809,14.309601783752441,14.317518949508667,14.309651136398315,14.31739091873169
False,6,12,11,59,32,fifo_wait,True,False,11,310,2,False,1024,False,True,2,1024,2,True,33,-4.696109806185171,14.927183866500854,14.935145139694214,14.927233219146729,14.935020208358765
False,2,14,8,17,16,fifo_wait,True,False,10,655,4,False,1024,False,True,10,1024,32,True,34,-3.8350124402570733,15.534576892852783,15.54279899597168,15.534625053405762,15.542671918869019
True,10,15,1,48,8,fifo_wait,True,False,10,1531,16,False,1024,False,True,4,1024,16,True,35,-3.319286809872975,16.15548300743103,16.163996934890747,16.155532836914062,16.16387391090393
True,7,8,10,51,2,fifo_wait,True,False,10,477,16,False,1024,True,True,11,1024,16,True,36,-4.681871030506499,16.760523080825806,16.76838207244873,16.760573148727417,16.768260955810547
True,7,4,25,52,16,fifo_wait,True,False,13,72,8,False,1024,False,True,1,1024,16,True,37,-3.645931737462691,17.38970398902893,17.39791703224182,17.389752864837646,17.39779496192932
False,6,3,23,23,32,fifo_wait,True,False,10,10,8,False,1024,False,True,18,1024,32,True,38,-5.071223662877658,18.000928163528442,18.00912117958069,18.000977993011475,18.008951902389526
True,1,13,23,1,16,fifo_wait,True,False,10,31,16,True,1024,False,True,6,1024,32,True,39,-5.023083903905229,18.625033140182495,18.633146047592163,18.62508201599121,18.633021116256714
False,7,10,32,20,32,fifo_wait,True,False,14,109,8,False,1024,False,True,16,1024,32,True,40,-3.9715283430450725,19.2358980178833,19.243941068649292,19.235948085784912,19.24380612373352
False,7,5,1,1,16,fifo_wait,True,False,11,136,16,False,1024,False,True,22,1024,16,True,41,-4.336343867126089,19.853377103805542,19.861358880996704,19.853425979614258,19.861228227615356
False,10,8,11,53,8,fifo_wait,True,False,12,194,16,False,1024,False,True,14,1024,8,True,42,-3.4465138942345304,20.48286509513855,20.49095106124878,20.482914924621582,20.490832090377808
False,1,14,4,4,16,fifo_wait,True,False,10,10,16,False,1024,False,True,6,1024,16,True,43,-4.980856558328694,21.09438180923462,21.10256600379944,21.09443211555481,21.102442026138306
False,4,8,13,44,16,fifo_wait,True,False,26,24,8,False,1024,False,True,13,1024,2,True,44,-5.172125513832775,21.722421169281006,21.730293035507202,21.722470998764038,21.730173110961914
True,14,9,1,58,16,fifo_wait,True,False,10,317,16,False,1024,False,True,9,1024,4,True,45,-3.6973660798866606,22.339296102523804,22.347243070602417,22.339345932006836,22.3471200466156
False,2,4,11,56,32,fifo_wait,True,False,28,667,8,True,1024,False,True,13,1024,32,True,46,-3.691621082702768,22.97294306755066,22.980952978134155,22.97299313545227,22.980829000473022
False,3,5,9,50,16,fifo_wait,True,False,10,25,16,False,1024,False,True,9,1024,4,True,47,-5.022501370228809,23.590690851211548,23.598746061325073,23.590739965438843,23.598615884780884
True,6,4,26,49,8,fifo_wait,True,False,11,560,16,False,1024,False,True,15,1024,2,True,48,-4.571434060838937,24.22653603553772,24.234817028045654,24.226585865020752,24.234683990478516
False,8,16,21,45,32,fifo_wait,True,False,10,1850,16,True,1024,False,True,14,1024,16,True,49,-3.7038431210778024,24.847100019454956,24.855414152145386,24.847148895263672,24.855286121368408
False,8,14,31,61,16,fifo_wait,True,False,10,163,16,False,1024,False,True,26,1024,32,True,50,-4.123739372388474,25.471897840499878,25.48017692565918,25.471946001052856,25.48004698753357
False,6,9,22,55,16,fifo_wait,True,False,26,54,8,True,1024,False,True,2,1024,32,True,51,-3.988707501717292,26.108213186264038,26.116503953933716,26.108268976211548,26.1163809299469
True,11,14,10,42,16,fifo_wait,True,False,10,170,16,False,1024,False,True,2,1024,4,True,52,-3.725174037085531,26.725337982177734,26.733378887176514,26.725386142730713,26.73325800895691
False,8,10,14,58,4,fifo_wait,True,False,15,139,16,False,1024,False,True,4,1024,4,True,53,-3.6592789954775453,27.36518096923828,27.373250246047974,27.365231037139893,27.37312388420105
False,6,14,14,59,2,fifo_wait,True,False,10,10,8,False,1024,False,True,7,1024,32,True,54,-5.267314990225556,27.990514993667603,27.99878215789795,27.990562915802002,27.998658180236816
False,5,10,12,61,1,fifo_wait,True,False,20,294,4,False,1024,False,True,13,1024,32,True,55,-3.8933310664207035,28.6304988861084,28.63905692100525,28.63054919242859,28.638935089111328
