busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,16,15,11,6,4,fifo_wait,True,1780,2,False,False,20,True,20,747,487,8,True,True,4,True,True,5.773346419938398,1334.766180753708
True,14,3,32,29,1,fifo_wait,False,1614,8,True,True,59,False,17,221,717,2,False,False,4,True,True,3.962011819711024,1334.7769136428833
True,11,14,16,10,16,fifo_wait,True,877,2,True,True,13,True,14,612,98,1,True,True,4,True,True,5.9794423620900385,1334.7905490398407
False,13,8,23,22,32,fifo,True,629,16,True,False,29,True,12,356,391,2,True,False,4,True,True,5.339788915434907,1334.8043866157532
False,10,4,19,33,2,fifo_wait,True,534,1,False,True,39,False,7,935,531,16,True,True,4,True,True,3.602880993897845,1334.8181557655334
True,4,2,6,48,32,fifo,False,1248,8,False,True,35,False,30,153,795,16,False,True,4,True,True,3.7916797424956385,1334.8320643901825
False,5,11,8,14,8,fifo,False,1964,1,False,True,52,False,7,52,924,32,False,True,4,True,True,1.9791087993437104,1334.8462007045746
False,6,6,28,62,2,fifo_wait,False,234,16,True,False,13,True,27,623,848,1,True,False,4,True,True,5.036570277582764,1334.860342502594
True,2,9,2,54,4,fifo,False,1199,4,False,False,4,True,24,463,146,4,False,False,4,True,True,4.223464286445154,1334.874741077423
False,8,13,24,38,16,fifo,True,23,4,True,False,45,False,2,825,295,16,False,False,4,True,True,3.689563711884599,1334.8893213272097
True,3,13,13,22,16,fifo_wait,False,1342,1,True,False,57,False,15,202,871,32,False,False,4,True,True,3.5634638711491196,1518.411127090454
False,10,10,18,30,8,fifo,True,1376,16,False,True,62,False,2,372,658,1,False,False,4,True,True,3.129474429670613,1623.7974293231964
False,4,9,25,41,8,fifo,True,1959,16,False,True,47,False,10,159,688,4,True,False,4,True,True,4.032590914353296,1813.4604725837708
False,4,9,17,60,2,fifo,False,1065,1,False,True,10,False,1,881,254,4,False,False,4,True,True,5.175189838102047,1930.6983201503751
False,14,14,13,57,16,fifo,False,1898,1,False,True,52,True,20,448,443,8,False,False,4,True,True,4.856759570565718,2020.597885131836
