busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,scale,enable_pep,more_params,objective,elapsed_sec
True,16,1,27,43,16,fifo_wait,True,193,16,False,4,False,False,2.81170432784812,3.072187900543213
True,3,13,14,3,2,fifo,False,1585,16,True,4,False,False,2.5744544961484777,4.109816551208496
True,2,6,24,39,16,fifo_wait,True,206,16,False,4,False,False,2.6161502886320003,6.396018028259277
False,1,7,18,12,8,fifo_wait,False,116,16,True,4,False,False,2.8674652826160307,7.430030822753906
True,12,2,23,57,1,fifo_wait,True,787,16,False,4,False,False,2.7426561241981657,8.463860988616943
True,7,1,11,38,32,fifo_wait,False,70,8,False,4,False,False,3.1777762904365785,9.49797224998474
False,6,11,14,60,32,fifo_wait,True,781,8,False,4,False,False,3.3711895107540832,10.532134532928469
False,5,11,6,39,16,fifo_wait,True,41,16,True,4,False,False,3.3299007243325596,11.566143274307253
True,12,7,32,44,32,fifo_wait,True,43,8,True,4,False,False,3.7587383352941064,12.600077390670776
False,16,12,7,46,4,fifo_wait,True,1193,2,True,4,False,False,3.970751812855553,13.634446144104004
True,7,4,9,0,1,fifo_wait,False,1270,16,False,4,False,False,2.808512985568937,17.361616611480713
True,1,10,19,16,1,fifo,False,934,16,False,4,False,False,2.62799300086299,20.998647451400757
True,15,12,29,1,8,fifo,False,1872,16,False,4,False,False,2.8558824135427403,24.8048734664917
True,1,15,2,30,1,fifo,True,1211,16,True,4,False,False,2.5184633213086123,28.445080995559692
True,1,4,22,24,2,fifo,False,2008,16,False,4,False,False,2.413405842774439,32.1425986289978
True,1,12,15,16,32,fifo_wait,True,1691,16,True,4,False,False,3.0885087528030017,35.82914113998413
False,4,3,11,3,1,fifo,True,1133,16,True,4,False,False,2.7496693361001627,39.483763217926025
True,2,10,30,55,1,fifo_wait,True,1822,16,True,4,False,False,2.53831269480924,43.11419367790222
True,2,10,2,19,1,fifo_wait,True,1505,2,False,4,False,False,3.914173268979921,46.96589565277099
False,3,1,24,61,8,fifo,False,654,16,True,4,False,False,2.5259808894980367,50.68207859992981
False,3,1,28,59,2,fifo,False,115,16,False,4,False,False,3.683926182859652,54.50816321372986
True,2,2,15,59,1,fifo,True,109,16,True,4,False,False,4.002938836228477,58.16594433784485
False,9,4,28,58,2,fifo,False,2029,1,True,4,False,False,4.594040169887899,62.07694411277771
True,16,6,23,0,1,fifo,False,731,16,False,4,False,False,3.02263536711018,65.83017563819885
True,15,3,6,33,1,fifo,False,1943,16,False,4,False,False,2.5239272591293327,69.58597707748413
True,6,12,24,51,1,fifo_wait,False,1978,16,True,4,False,False,2.4913971327959556,73.3269898891449
True,8,16,9,5,1,fifo,False,1709,16,False,4,False,False,2.6422250859278864,77.40992450714111
False,1,3,3,6,1,fifo,False,2033,16,False,4,False,False,2.603962832806542,81.2824776172638
False,16,15,28,32,1,fifo_wait,True,1850,16,False,4,False,False,2.5224096403596272,84.96659588813782
True,2,7,30,3,4,fifo_wait,False,8,2,False,4,False,False,5.277296597254425,88.6668975353241
True,1,7,31,15,32,fifo,False,272,16,False,4,False,False,3.4403518481892217,92.52930116653442
True,8,11,8,56,16,fifo_wait,False,801,16,False,4,False,False,2.6591273905507817,96.50559449195862
True,7,14,27,62,1,fifo,False,1863,16,False,4,False,False,2.522225835204245,100.41000628471376
True,10,11,32,50,8,fifo_wait,True,1713,16,False,4,False,False,2.482379200790443,104.13791704177856
True,4,4,12,58,4,fifo_wait,False,1794,16,True,4,False,False,2.371310814950838,108.24247622489928
False,2,13,32,16,1,fifo_wait,True,1373,16,False,4,False,False,2.681079158927425,112.2427294254303
False,10,16,22,47,8,fifo,True,1559,4,True,4,False,False,3.444393656546421,116.37948322296144
True,14,15,3,35,32,fifo_wait,False,1963,1,True,4,False,False,5.1646937795480135,120.24623680114746
False,6,1,28,42,2,fifo_wait,False,1286,16,True,4,False,False,2.4137141210924327,124.1368191242218
True,6,8,12,13,1,fifo,False,2041,16,True,4,False,False,2.5536456100029596,128.1469645500183
False,11,2,31,51,1,fifo_wait,False,1960,16,False,4,False,False,2.586121623415747,131.90094709396362
True,1,3,24,43,8,fifo_wait,False,658,16,False,4,False,False,2.437116055506068,136.65306878089905
False,11,1,25,31,8,fifo_wait,True,2034,16,True,4,False,False,2.4242712887212177,140.6905391216278
False,13,15,26,8,8,fifo,True,2007,16,False,4,False,False,2.773262992474879,144.8241319656372
True,3,1,21,50,4,fifo_wait,False,1423,16,False,4,False,False,2.3869663230395046,148.79166078567505
False,3,9,26,52,4,fifo,True,1086,16,True,4,False,False,2.4268419018707448,152.66925621032715
True,1,6,8,49,2,fifo,False,1296,16,False,4,False,False,2.4216417109624864,157.077002286911
True,2,4,15,58,8,fifo,True,1807,16,True,4,False,False,2.447449753392851,160.94095087051392
False,2,15,24,62,1,fifo_wait,False,582,1,False,4,False,False,4.761156186149628,165.26897883415222
True,2,15,8,59,8,fifo_wait,False,729,16,True,4,False,False,2.515163252988758,169.8935306072235
True,13,14,6,35,8,fifo_wait,True,1235,16,True,4,False,False,2.4389567619659096,174.2671256065369
True,11,6,15,46,16,fifo_wait,False,2016,8,True,4,False,False,3.310512502383874,178.41568064689636
True,2,6,4,50,4,fifo,False,1544,16,False,4,False,False,2.4156686884157645,182.45020747184753
True,4,1,7,49,4,fifo_wait,False,810,16,True,4,False,False,2.4182113823483444,186.74976062774655
True,2,8,6,37,4,fifo_wait,False,8,16,False,4,False,False,5.10671798306595,190.78337717056272
