busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
False,5,4,13,55,2,fifo,True,572,4,False,True,20,True,7,123,167,16,False,False,4,True,True,3.8782240822570344,1572.786738395691
False,4,9,27,59,2,fifo_wait,False,94,4,True,False,9,False,11,10,132,16,False,False,4,True,True,4.223614816623083,1572.7983598709106
True,9,6,27,55,4,fifo_wait,False,31,16,True,False,29,True,18,277,30,16,False,False,4,True,True,3.8016159678202968,1572.8120975494385
True,3,8,26,53,8,fifo,True,41,16,True,True,4,True,4,70,64,1,False,False,4,True,True,3.8559082933499553,1572.8259944915771
True,1,11,14,35,2,fifo,False,638,1,False,False,21,True,1,113,273,8,True,True,4,True,True,4.877601634179271,1572.8398852348328
False,4,14,4,27,8,fifo,True,180,16,True,False,21,True,3,28,68,16,True,True,4,True,True,4.670628703420661,1572.8538982868197
False,7,12,18,41,32,fifo_wait,False,10,2,True,True,51,False,26,9,219,4,False,True,4,True,True,4.594057935530117,1572.868131399155
True,1,6,1,14,1,fifo_wait,True,8,4,True,True,4,True,3,57,812,2,True,True,4,True,True,4.800391871111174,1572.882401227951
True,6,7,9,46,4,fifo,True,2,8,True,True,1,True,29,29,157,4,False,False,4,True,True,3.7754209942735177,1572.8968200683594
True,11,12,16,58,2,fifo_wait,True,35,1,True,False,3,True,21,131,67,16,False,False,4,True,True,4.235817331210939,1572.911396026611
False,3,1,31,36,4,fifo,False,1983,16,False,True,50,True,27,1016,366,16,False,False,4,True,True,4.550781394866718,1663.8429844379425
True,15,2,6,42,2,fifo,False,66,1,True,False,23,True,17,623,309,2,False,False,4,True,True,5.149613658329301,1798.205173254013
True,9,5,22,41,4,fifo_wait,True,1229,16,False,False,36,True,12,120,548,32,False,False,4,True,True,4.1791266062476495,1929.6462893486023
True,5,16,21,18,8,fifo_wait,False,958,16,False,True,42,True,5,144,96,16,False,False,4,True,True,3.7835455643215,2027.4175474643707
True,11,10,23,14,1,fifo,True,1763,16,False,False,39,False,15,41,571,8,False,False,4,True,True,5.213343009421138,2133.535438776016
True,2,2,6,58,32,fifo_wait,True,390,16,True,True,11,False,17,525,556,32,False,True,4,True,True,3.66308497934007,2219.6429023742676
True,9,15,11,25,32,fifo,True,262,16,True,True,31,True,30,146,841,32,True,False,4,True,True,5.3718327093982765,2356.6031816005707
True,10,5,11,51,2,fifo_wait,False,1338,16,False,False,43,False,1,29,918,32,False,True,4,True,True,4.727947974144328,2425.099784851074
False,12,14,6,10,32,fifo,True,649,16,False,False,42,True,1,279,705,32,False,True,4,True,True,4.541984361253711,2498.1403234004974
False,4,7,15,41,32,fifo_wait,True,353,16,False,True,49,False,28,187,23,32,False,False,4,True,True,3.7877448254940305,2631.439866542816
False,8,12,12,4,32,fifo_wait,True,633,8,False,True,2,True,17,382,410,32,False,False,4,True,True,3.8097421898051063,2771.5743424892426
True,3,2,20,48,16,fifo_wait,False,990,8,False,True,11,False,5,30,63,32,False,False,4,True,True,3.452161198521736,2893.834793329239
True,12,10,30,7,8,fifo_wait,False,611,8,False,True,11,True,11,358,14,32,False,False,4,True,True,3.859219657978855,3023.939707517624
True,13,6,14,44,32,fifo_wait,True,751,4,True,True,14,False,2,322,135,32,False,True,4,True,True,3.99263860008125,3099.2462360858917
True,16,9,26,38,2,fifo_wait,True,1722,4,False,True,1,False,8,137,89,32,False,False,4,True,True,4.07023471347317,3314.8288145065308
True,5,8,28,9,16,fifo_wait,True,151,16,False,False,61,False,22,773,99,32,False,True,4,True,True,4.838456431585811,3476.0897829532623
False,13,12,3,31,32,fifo_wait,False,542,16,False,False,18,True,29,786,161,32,False,False,4,True,True,4.041115525294501,3557.2701408863068
True,7,5,19,35,2,fifo_wait,True,935,16,False,True,19,True,3,161,204,32,False,True,4,True,True,3.67301671745237,3651.19772195816
True,3,4,4,29,8,fifo_wait,False,1713,16,True,False,4,True,12,772,21,32,False,False,4,True,True,3.785104843299053,3759.795099258423
False,3,9,8,26,4,fifo_wait,True,254,16,False,False,28,True,13,824,777,32,False,False,4,True,True,4.651689157766285,3896.7015750408177
False,7,4,5,12,8,fifo_wait,False,715,8,True,False,7,True,4,259,726,2,False,False,4,True,True,5.217270855998777,3999.893837928772
True,2,6,2,22,8,fifo_wait,True,144,16,True,True,14,False,19,290,277,32,False,True,4,True,True,3.855677610005401,4086.50814652443
False,1,2,19,32,8,fifo_wait,False,1125,16,False,False,17,True,6,50,34,32,False,False,4,True,True,3.459114609561027,4187.4463930130005
True,4,2,22,58,32,fifo_wait,True,1074,2,True,True,18,False,2,618,201,32,False,False,4,True,True,4.244514003409108,4289.360035896301
False,4,5,2,31,1,fifo,True,6,16,False,True,15,False,11,64,436,32,False,True,4,True,True,4.034456680416341,4440.538890361786
True,4,15,18,30,2,fifo,True,1078,8,False,True,17,True,4,601,101,32,False,False,4,True,True,4.037396830892121,4595.960900306702
False,13,11,25,43,32,fifo,False,1119,2,False,True,2,False,17,947,426,32,False,False,4,True,True,4.463904165589554,4870.93097782135
True,3,8,31,36,2,fifo_wait,False,1829,8,False,True,1,False,20,255,70,32,False,False,4,True,True,3.816459799244484,4998.171458244324
True,10,8,14,49,8,fifo_wait,False,1743,16,False,True,5,True,1,772,9,8,False,True,4,True,True,3.7333598030300834,5097.885999441147
True,8,12,27,60,16,fifo_wait,True,96,8,False,True,10,True,2,596,473,16,False,True,4,True,True,3.9359990257239583,5188.509829759598
False,2,11,15,61,2,fifo_wait,False,1883,16,False,False,47,False,1,652,1002,32,True,True,4,True,True,4.5173848417505695,5301.028315782547
