busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,6,10,7,23,4,fifo_wait,False,276,16,True,True,2,True,21,61,126,8,False,False,4,True,True,3.677205710252861,6.073118209838867
True,9,12,16,51,1,fifo_wait,True,663,8,True,True,3,True,12,157,706,32,False,False,4,True,True,3.279230668863591,11.123958110809326
False,4,14,24,22,2,fifo_wait,True,498,4,True,True,14,True,7,197,155,32,False,False,4,True,True,3.8869414980502937,17.15905523300171
False,8,15,11,55,32,fifo_wait,True,103,8,False,True,5,True,2,323,189,16,False,False,4,True,True,3.602845406869984,22.193892240524292
False,10,15,15,30,2,fifo,False,1216,4,True,True,20,True,28,11,80,8,False,False,4,True,True,4.290748621608433,27.22923994064331
True,12,4,25,20,16,fifo_wait,True,691,4,True,False,41,True,13,142,94,4,True,False,4,True,True,4.66069253070346,32.264379024505615
False,16,3,24,36,32,fifo_wait,True,65,16,False,True,17,False,27,74,62,32,False,True,4,True,True,4.214133478972737,37.30496096611023
True,2,2,7,8,32,fifo_wait,False,15,8,True,True,5,True,4,18,24,4,True,True,4,True,True,4.631930047379251,42.34531784057617
True,6,1,25,24,2,fifo_wait,False,448,1,True,True,36,True,8,131,340,16,False,False,4,True,True,4.590728565817811,47.38170862197876
True,11,8,1,52,32,fifo_wait,False,110,16,False,True,15,False,10,9,12,32,False,False,4,True,True,4.006991061946855,52.417680740356445
False,7,15,17,17,32,fifo_wait,True,1989,16,False,False,7,False,18,963,931,16,False,False,4,True,True,4.120594874048295,61.72515869140625
True,16,7,11,48,1,fifo,True,299,8,False,True,2,True,5,398,244,16,True,False,4,True,True,5.299204725916578,71.0502302646637
True,16,15,14,42,1,fifo_wait,False,1587,16,False,False,20,False,21,562,957,1,False,False,4,True,True,5.211466868435488,80.51472043991089
