busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,10,4,23,49,32,fifo,True,367,8,False,True,45,False,27,887,29,1,False,False,4,True,True,5.210941325642565,4.866534471511841
True,6,2,2,26,8,fifo,False,938,8,True,True,5,False,2,87,202,2,True,False,4,True,True,4.370376049697832,7.903048515319824
True,10,7,20,26,16,fifo,False,785,2,False,True,29,True,31,145,16,8,False,True,4,True,True,4.486237824173172,12.088987827301024
True,15,14,1,26,1,fifo_wait,False,119,4,False,True,11,True,8,9,416,1,False,False,4,True,True,4.473084609406518,15.122838020324709
False,12,8,9,41,2,fifo,True,1106,4,False,False,23,False,10,269,108,2,False,True,4,True,True,4.752564917377348,18.157010793685913
True,13,12,9,2,8,fifo_wait,False,1905,4,True,True,55,True,5,90,22,8,True,True,4,True,True,4.790102039886058,21.191824197769165
True,13,13,25,52,16,fifo_wait,False,22,4,True,True,32,True,12,63,114,1,False,True,4,True,True,4.907813555981987,24.22567629814148
False,16,4,24,49,8,fifo,True,56,4,False,False,2,False,28,94,67,16,False,False,4,True,True,4.667821476642911,27.260663509368896
False,5,7,14,58,16,fifo_wait,True,212,16,False,False,11,True,8,39,10,32,False,True,4,True,True,3.2719557274626108,30.29507088661194
True,6,13,1,50,32,fifo_wait,True,79,16,False,False,8,True,1,231,13,8,False,True,4,True,True,3.493101815029858,33.32966208457947
True,1,14,30,17,2,fifo_wait,True,1865,2,False,False,21,True,4,255,580,8,True,True,4,True,True,5.03250496706725,40.75688195228577
False,10,12,1,34,16,fifo,False,449,16,False,False,27,True,29,32,216,8,True,False,4,True,True,4.487843745660412,48.44304323196411
True,13,1,7,4,16,fifo,True,1569,2,True,True,2,True,24,966,565,1,True,True,4,True,True,5.344474199563353,55.78072023391723
True,9,8,20,39,1,fifo,False,1560,16,False,False,62,True,3,1020,279,32,False,True,4,True,True,3.8874276388544993,63.30523681640625
False,7,3,2,28,32,fifo,True,909,16,False,True,34,True,2,84,66,2,False,False,4,True,True,4.087897932614806,70.65075874328613
