busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,scale,enable_pep,more_params,objective,elapsed_sec
True,9,1,15,44,2,fifo_wait,True,807,8,False,4,False,False,2.7804063987483416,3.593722343444824
True,4,9,4,32,4,fifo,True,446,8,True,4,False,False,2.9333734765130863,4.631293058395386
False,13,8,12,33,1,fifo,False,1188,4,False,4,False,False,3.2820676601534116,6.918003559112549
True,11,7,7,0,4,fifo,True,1215,4,True,4,False,False,3.715014239078097,7.952259063720703
False,3,3,2,63,4,fifo_wait,True,75,4,True,4,False,False,3.8894900454522374,8.986759901046753
False,15,6,14,20,32,fifo_wait,True,217,4,False,4,False,False,3.8425669902650847,10.02121901512146
False,3,10,8,42,8,fifo_wait,True,1030,2,True,4,False,False,4.059276149953592,11.055361032485962
False,7,4,30,22,32,fifo,False,167,4,False,4,False,False,4.078296815654571,12.090150117874146
True,15,5,25,2,2,fifo,False,686,4,True,4,False,False,3.8921219624926713,13.124329090118408
False,6,5,23,48,2,fifo_wait,True,1029,2,True,4,False,False,3.890645313923664,14.158820152282717
True,16,16,28,43,1,fifo,False,1649,16,False,4,False,False,2.5927594621064873,17.91412925720215
True,1,9,13,25,2,fifo,True,878,16,False,4,False,False,2.4295624231601716,21.60531544685364
True,2,3,22,19,1,fifo_wait,True,480,16,False,4,False,False,2.9767917165741498,25.25008726119995
True,1,15,29,7,1,fifo,True,1237,16,False,4,False,False,2.808507472372656,28.929330348968502
True,14,8,1,10,1,fifo_wait,True,561,16,False,4,False,False,2.962837232053312,32.57396340370178
True,2,1,25,53,4,fifo_wait,False,1269,16,False,4,False,False,2.4089069196384143,36.353248834609985
True,6,5,11,62,1,fifo_wait,False,1369,16,False,4,False,False,2.5500924627387023,40.06217288970947
True,1,2,3,60,2,fifo_wait,False,1168,16,False,4,False,False,2.4087461163456125,43.81968545913696
True,1,16,23,40,32,fifo_wait,False,2002,16,False,4,False,False,3.2915988012390165,47.6176381111145
False,4,4,4,28,1,fifo,False,1368,16,False,4,False,False,2.5432436758841845,51.40543794631958
True,13,2,8,44,4,fifo,False,624,16,True,4,False,False,2.4347749248961112,55.083280086517334
True,2,11,12,55,1,fifo,True,869,16,True,4,False,False,2.6222099675266417,58.82912302017212
True,2,2,29,55,1,fifo,True,671,2,False,4,False,False,3.992834509949696,62.53548860549927
True,12,9,17,33,2,fifo,False,1629,16,True,4,False,False,2.369215701394676,66.8164701461792
True,8,11,25,37,1,fifo,False,1903,16,False,4,False,False,2.49543115351812,70.99111533164978
True,5,9,6,3,8,fifo,True,1948,16,False,4,False,False,2.638895613009153,74.92590665817261
False,16,5,20,35,2,fifo_wait,True,2024,1,False,4,False,False,4.605982086999118,78.71807026863098
True,11,5,21,39,16,fifo,True,1613,16,True,4,False,False,2.5762634769339785,82.51017141342163
True,8,1,7,46,1,fifo_wait,False,1316,16,True,4,False,False,2.5685870838707427,86.26920461654663
True,10,8,11,20,2,fifo,False,1939,16,False,4,False,False,2.4081124021826645,90.85840821266174
True,14,6,27,51,1,fifo,False,1953,16,False,4,False,False,2.5470304802498793,95.37351083755492
True,16,4,19,54,4,fifo,True,1762,16,False,4,False,False,2.400643300851774,99.17397999763487
False,6,4,15,53,2,fifo,True,1973,16,False,4,False,False,2.4069761672856975,103.16733741760254
True,4,15,32,1,1,fifo,True,346,2,True,4,False,False,4.7375640521943705,107.55777859687804
True,6,4,8,49,2,fifo,True,1997,16,True,4,False,False,2.3903640179475207,111.80421829223631
True,4,13,9,10,2,fifo,True,2044,16,False,4,False,False,2.5589271489344085,115.96564173698424
True,6,13,10,47,4,fifo,True,1224,16,False,4,False,False,2.405855182846498,120.06355285644533
True,11,2,6,10,4,fifo,False,1679,16,False,4,False,False,2.471507814236526,124.340589761734
False,13,2,32,11,16,fifo_wait,True,1586,16,True,4,False,False,2.8078785759683837,130.2663848400116
False,3,13,17,50,8,fifo,False,932,16,True,4,False,False,2.485862320364845,134.37427353858948
True,6,4,16,53,4,fifo_wait,True,1363,16,True,4,False,False,2.345028313596468,138.5209858417511
False,9,2,28,60,1,fifo_wait,False,2003,16,True,4,False,False,2.557295773443943,143.47336101531982
True,8,2,14,49,4,fifo,True,1424,16,True,4,False,False,2.4035675306119346,148.2363884449005
False,2,10,19,50,4,fifo,True,992,16,False,4,False,False,2.444401658524246,152.10922837257385
True,11,3,3,57,32,fifo,False,126,16,False,4,False,False,3.6890095295570218,156.90664720535278
True,6,15,17,10,8,fifo_wait,True,872,16,True,4,False,False,2.7414423611707757,161.01182532310486
False,14,3,29,20,8,fifo,False,1737,16,True,4,False,False,2.5300558316545687,165.08755326271057
True,1,13,30,40,4,fifo,False,408,16,True,4,False,False,2.6294224427335156,169.04969573020935
False,3,8,11,18,4,fifo,False,1354,16,True,4,False,False,2.415805768176531,173.18047404289246
False,13,15,27,63,4,fifo_wait,False,1700,16,True,4,False,False,2.436386578948765,176.99948263168335
