busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,6,10,7,23,4,fifo_wait,False,276,16,True,True,2,True,21,61,126,8,False,False,4,True,True,3.677205710252861,3.5889110565185547
True,9,12,16,51,1,fifo_wait,True,663,8,True,True,3,True,12,157,706,32,False,False,4,True,True,3.279230668863591,4.624286890029907
False,4,14,24,22,2,fifo_wait,True,498,4,True,True,14,True,7,197,155,32,False,False,4,True,True,3.8869414980502937,6.797640323638916
False,8,15,11,55,32,fifo_wait,True,103,8,False,True,5,True,2,323,189,16,False,False,4,True,True,3.602845406869984,7.830055475234985
False,10,15,15,30,2,fifo,False,1216,4,True,True,20,True,28,11,80,8,False,False,4,True,True,4.290748621608433,8.862858057022095
True,12,4,25,20,16,fifo_wait,True,691,4,True,False,41,True,13,142,94,4,True,False,4,True,True,4.66069253070346,9.895448923110962
False,16,3,24,36,32,fifo_wait,True,65,16,False,True,17,False,27,74,62,32,False,True,4,True,True,4.214133478972737,10.928345441818236
True,2,2,7,8,32,fifo_wait,False,15,8,True,True,5,True,4,18,24,4,True,True,4,True,True,4.631930047379251,11.960919618606567
True,6,1,25,24,2,fifo_wait,False,448,1,True,True,36,True,8,131,340,16,False,False,4,True,True,4.590728565817811,12.994049310684204
True,11,8,1,52,32,fifo_wait,False,110,16,False,True,15,False,10,9,12,32,False,False,4,True,True,4.006991061946855,14.02732753753662
True,10,16,17,24,4,fifo,True,163,8,False,True,7,False,31,683,996,2,False,False,4,True,True,5.019815183319561,19.440980434417725
False,7,12,16,58,1,fifo,False,654,16,False,True,34,True,16,924,739,32,True,False,4,True,True,5.135663787048804,24.780211925506592
False,14,13,13,38,4,fifo,False,386,4,True,False,61,True,6,60,861,2,True,True,4,True,True,4.6793465651414685,30.144689083099365
True,2,2,27,47,16,fifo,True,1567,2,True,True,62,False,30,596,880,2,False,False,4,True,True,5.038966597275671,35.50714659690857
True,4,9,4,59,4,fifo_wait,True,247,16,False,False,6,True,27,319,452,8,False,True,4,True,True,3.9436554662788232,40.92574763298035
False,12,15,8,54,1,fifo_wait,True,1522,16,True,True,53,True,8,1002,663,2,False,False,4,True,True,4.334481261221056,46.48047852516174
False,16,15,30,51,4,fifo_wait,True,906,8,True,False,7,True,8,47,1002,4,False,True,4,True,True,3.890071179097446,52.11918115615845
True,7,2,24,50,2,fifo,True,434,16,True,False,55,True,13,20,59,1,False,False,4,True,True,4.450077993252282,57.684345960617065
True,13,12,23,52,16,fifo_wait,True,2044,8,False,False,30,True,21,170,967,2,False,False,4,True,True,4.868008332609145,63.266440868377686
False,3,9,2,63,32,fifo_wait,True,1097,4,True,True,6,True,11,254,428,8,False,True,4,True,True,3.922238535693873,69.02393817901611
False,15,16,6,47,2,fifo_wait,True,136,16,True,False,6,True,8,125,236,8,True,False,4,True,True,4.784449766955177,75.02884244918823
True,13,12,7,56,2,fifo,False,981,4,True,False,55,True,19,1001,920,16,False,True,4,True,True,4.150618679543322,80.46668481826782
False,14,7,10,61,4,fifo,False,905,2,True,False,5,False,2,984,272,32,False,True,4,True,True,4.798326836167256,86.11998867988586
False,6,10,25,45,16,fifo_wait,True,1922,2,False,False,1,True,17,284,350,1,False,True,4,True,True,4.893213552657296,91.64812564849854
True,7,12,20,13,4,fifo_wait,True,229,8,True,False,59,True,15,234,677,32,False,True,4,True,True,4.473107989871834,97.49534797668456
False,16,14,28,61,4,fifo,True,842,1,False,False,47,True,3,714,1018,1,False,False,4,True,True,5.0906470547123295,103.14659523963928
False,8,12,3,30,32,fifo,True,705,1,False,False,16,False,3,210,866,16,False,True,4,True,True,5.00296566589602,108.73760628700256
False,12,8,1,56,2,fifo,True,168,1,True,True,37,True,14,624,399,32,False,True,4,True,True,4.840775633635705,114.12902164459229
True,7,12,13,61,8,fifo_wait,True,270,4,True,False,16,False,31,129,990,8,False,True,4,True,True,4.225730743629162,119.7099916934967
False,13,15,12,60,8,fifo,True,198,8,True,False,6,True,10,807,100,16,False,True,4,True,True,3.5668858672010244,125.55202412605286
False,4,14,17,48,2,fifo_wait,True,1147,16,True,False,2,False,11,839,859,16,False,True,4,True,True,3.7791137101154697,130.88525485992432
True,1,8,26,61,8,fifo,True,361,8,True,False,4,False,25,106,865,8,False,False,4,True,True,4.200316129595513,136.23526310920715
False,11,16,28,50,4,fifo_wait,True,179,8,True,False,32,True,11,644,710,2,True,True,4,True,True,4.688389076439869,141.6336908340454
False,13,13,13,60,2,fifo_wait,True,1616,16,True,False,21,False,5,733,701,16,False,True,4,True,True,4.340981890415726,147.030921459198
False,12,13,14,60,1,fifo_wait,True,1692,8,True,False,20,True,17,322,597,4,False,True,4,True,True,4.215044420310063,152.51772546768188
False,16,11,19,13,1,fifo,True,285,16,True,True,3,True,18,545,70,1,True,True,4,True,True,5.14185547790593,158.07470870018005
True,2,7,7,7,2,fifo,True,154,16,False,True,2,True,23,18,983,16,False,False,4,True,True,4.274602228840656,163.5657341480255
True,4,16,21,58,4,fifo_wait,False,1694,8,True,True,6,True,25,749,275,2,False,True,4,True,True,4.883398784392613,169.48253870010376
False,14,14,10,57,8,fifo,True,1577,16,True,False,2,True,27,371,625,8,True,True,4,True,True,4.437893386608623,175.11849164962769
False,5,7,14,60,4,fifo,True,1321,8,True,False,7,True,5,124,995,2,True,True,4,True,True,4.533401945793309,180.7766830921173
False,1,15,5,55,16,fifo_wait,True,125,8,True,True,1,False,7,838,889,4,False,False,4,True,True,4.513861060034177,186.72732496261597
False,7,8,31,37,2,fifo_wait,True,1587,16,True,False,3,True,20,218,763,32,False,True,4,True,True,3.87687521358792,192.3989684581757
True,7,14,20,23,4,fifo_wait,True,607,16,True,True,12,True,15,765,742,32,False,True,4,True,True,3.5523638250548113,198.18972635269165
True,2,9,19,56,16,fifo_wait,True,1878,8,True,False,11,True,7,916,229,8,False,True,4,True,True,3.4954002745581807,204.1084516048431
True,12,7,27,61,16,fifo_wait,True,33,4,True,False,12,True,28,327,388,2,False,True,4,True,True,5.115285894449034,210.3070740699768
False,7,9,2,63,8,fifo_wait,True,832,1,True,False,1,True,2,763,936,32,False,True,4,True,True,4.936724368018915,215.87122178077695
True,7,16,31,62,32,fifo_wait,True,521,4,True,False,44,False,30,177,286,8,True,True,4,True,True,4.769562883620555,221.518981218338
True,6,15,31,45,8,fifo_wait,False,1396,8,False,False,10,True,14,930,89,32,False,True,4,True,True,3.5974701802230147,227.1098434925079
False,5,13,15,6,1,fifo_wait,False,1821,16,True,False,2,True,23,968,655,16,False,True,4,True,True,4.165401069154978,232.68736624717712
