busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,12,12,22,39,32,fifo,True,1476,2,False,True,11,False,21,832,210,4,False,True,4,True,True,4.873518567829834,3.505531311035156
True,13,6,17,54,16,fifo_wait,True,193,16,True,True,5,False,18,349,229,32,False,False,4,True,True,3.509795665497463,4.547862768173218
False,15,13,6,36,16,fifo,True,1770,8,True,True,7,False,14,10,254,32,False,True,4,True,True,3.713283240830908,6.780510663986206
True,5,1,13,23,32,fifo_wait,False,49,4,False,True,13,False,4,76,239,4,True,True,4,True,True,4.362477563405376,7.812706708908081
True,7,13,24,29,4,fifo,True,246,2,False,True,17,False,9,75,36,32,False,False,4,True,True,4.295968824754549,8.845824718475342
False,1,10,18,48,1,fifo,True,105,16,False,False,35,False,5,92,25,16,False,True,4,True,True,4.332552967900931,9.878210544586182
True,16,2,11,36,8,fifo,True,924,16,True,True,33,False,15,23,490,32,True,False,4,True,True,4.33950954679147,10.9112811088562
False,7,2,4,51,2,fifo_wait,False,79,2,True,False,24,True,6,197,183,16,False,False,4,True,True,4.4337883910162095,11.944306135177612
True,8,14,30,40,4,fifo_wait,False,113,2,False,False,20,True,11,244,186,2,False,True,4,True,True,4.675203147657737,12.977146863937378
False,11,12,15,33,8,fifo,False,2042,2,False,True,61,True,22,41,128,32,False,False,4,True,True,4.5160600612322686,14.010346174240112
False,10,8,5,27,32,fifo_wait,False,90,16,False,True,2,False,10,11,723,16,True,True,4,True,True,4.600143070884861,19.363536834716797
False,15,15,9,63,2,fifo_wait,False,1288,4,True,True,43,False,7,47,283,16,False,False,4,True,True,3.9987352475986215,24.636917114257812
True,14,13,29,44,1,fifo_wait,False,1808,4,True,True,1,False,14,30,808,1,False,True,4,True,True,5.154169064326718,30.157858848571777
True,2,6,17,38,4,fifo_wait,False,1607,16,True,True,3,False,1,710,110,32,False,True,4,True,True,4.223957476181357,35.474637031555176
False,13,9,28,23,1,fifo_wait,True,1459,4,False,True,25,False,26,983,100,32,True,False,4,True,True,5.303386367447914,40.82596015930176
True,8,5,14,62,1,fifo_wait,False,211,2,True,True,41,True,4,222,21,8,False,True,4,True,True,4.648127906872324,46.90795612335205
False,8,15,1,50,2,fifo_wait,True,2001,16,True,False,61,False,23,188,404,32,False,False,4,True,True,4.0929100049096805,52.45399475097656
True,13,15,27,39,16,fifo_wait,True,246,16,True,True,12,False,15,484,141,4,True,True,4,True,True,4.56890533116157,57.99683094024658
False,9,8,17,43,8,fifo_wait,True,1377,1,True,True,32,False,29,26,167,8,False,False,4,True,True,4.939664285212183,63.35889673233032
False,6,11,19,48,8,fifo_wait,False,347,8,True,False,37,False,25,240,250,32,False,False,4,True,True,4.091958116045635,69.05066847801208
False,11,15,6,10,16,fifo_wait,True,1291,8,True,True,18,False,7,474,23,16,False,False,4,True,True,4.001820544446554,74.45682835578918
False,14,1,2,38,16,fifo,True,1345,2,True,False,11,False,18,63,420,32,False,True,4,True,True,4.540406296224629,80.06833815574646
True,7,14,4,0,16,fifo_wait,False,302,2,True,True,4,False,20,226,230,8,False,False,4,True,True,5.159137764891083,85.71315717697144
True,14,5,5,53,8,fifo_wait,True,567,16,False,False,60,True,5,125,830,2,True,False,4,True,True,4.521026320240899,91.68038415908812
False,8,8,2,59,8,fifo_wait,True,336,16,True,True,60,False,8,782,88,32,False,False,4,True,True,3.979604819100091,97.2845618724823
False,16,14,20,63,1,fifo_wait,True,223,2,True,False,45,True,4,325,920,32,False,True,4,True,True,4.701087239980451,102.76910018920898
True,2,6,9,1,1,fifo_wait,False,1986,16,False,False,20,False,11,107,101,32,True,False,4,True,True,5.245240679051357,108.65789842605592
False,13,6,25,15,32,fifo_wait,True,341,8,False,False,50,False,11,31,233,16,False,False,4,True,True,4.435061704715318,114.46984672546388
False,4,14,31,54,1,fifo_wait,False,72,16,False,True,15,False,25,55,428,32,True,False,4,True,True,5.345601718204242,120.55503010749815
False,15,3,11,37,32,fifo_wait,False,880,16,False,True,41,False,5,612,61,16,False,False,4,True,True,4.52585959554242,126.74305844306946
True,5,13,4,15,8,fifo_wait,True,1228,16,False,False,32,False,30,541,594,8,False,True,4,True,True,4.150613737539635,133.07436275482178
False,11,7,8,55,2,fifo_wait,False,1397,16,True,True,56,True,21,785,375,32,True,True,4,True,True,4.722079193647813,138.986154794693
False,14,16,4,59,32,fifo_wait,False,472,2,True,False,47,False,21,477,481,32,False,False,4,True,True,4.922113872355944,144.82181215286255
True,3,16,27,43,32,fifo,True,525,16,True,True,42,False,4,212,402,8,False,False,4,True,True,4.5897141292010595,150.70281839370728
False,5,15,31,34,32,fifo_wait,False,1336,16,True,True,13,True,30,138,207,2,False,True,4,True,True,4.924832766071447,156.42200541496277
False,12,13,21,62,2,fifo_wait,True,304,8,True,True,26,False,6,476,199,16,True,False,4,True,True,4.875514639260487,161.96096897125244
