busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
False,11,3,2,14,8,fifo_wait,True,106,16,False,True,5,True,30,13,38,16,False,False,4,True,True,3.978513792939012,1693.8284239768982
True,15,13,11,25,32,fifo_wait,False,35,8,True,True,2,False,16,9,112,32,False,True,4,True,True,5.08536723576334,1693.8409283161163
False,4,16,13,52,4,fifo_wait,True,388,2,True,False,3,True,14,77,529,32,False,True,4,True,True,4.441776338751078,1693.8547008037567
False,1,2,11,41,32,fifo_wait,False,98,16,False,True,2,True,13,756,160,4,False,True,4,True,True,4.031563560724834,1693.868453025818
False,3,16,7,60,16,fifo_wait,True,4,8,False,False,3,True,21,16,298,4,False,True,4,True,True,3.993483017954814,1693.8822212219238
False,4,7,17,41,2,fifo,False,18,16,True,True,15,True,9,28,13,8,False,False,4,True,True,4.004777455792738,1693.8960819244385
False,6,10,23,7,8,fifo_wait,True,356,16,False,True,12,True,15,33,392,32,False,True,4,True,True,4.475465544623561,1693.9100725650787
False,8,3,20,25,2,fifo_wait,False,5,8,False,True,38,False,18,133,236,32,True,False,4,True,True,5.409856983304397,1693.9240138530731
False,1,8,7,21,1,fifo,True,9,16,False,False,1,False,3,910,16,32,False,True,4,True,True,3.774484817406563,1693.9381833076477
False,13,12,28,34,16,fifo_wait,False,1,1,False,True,25,True,20,41,106,2,True,False,4,True,True,5.044313410645774,1693.9525566101074
True,3,2,5,21,4,fifo,True,2035,16,True,False,14,False,14,928,22,8,False,True,4,True,True,3.931244169586233,1810.7066740989685
True,4,4,20,49,4,fifo,True,570,2,False,False,19,True,24,250,51,4,False,False,4,True,True,4.310591586789128,1983.91854262352
False,3,7,29,14,4,fifo,True,737,16,False,True,6,True,10,54,586,2,False,True,4,True,True,4.25066175357849,2225.062569618225
False,15,15,20,22,4,fifo,True,1554,16,False,True,7,False,25,222,126,2,False,True,4,True,True,5.576357880970439,2371.8671991825104
False,15,2,5,15,8,fifo,True,17,16,False,True,20,True,8,146,544,2,False,True,4,True,True,4.893896807039148,2497.63094830513
False,8,15,1,8,1,fifo,True,19,4,False,False,20,True,24,843,150,8,False,False,4,True,True,4.900413428541448,2644.141716003418
True,13,2,26,43,16,fifo_wait,True,1238,1,False,False,3,True,7,250,144,16,False,False,4,True,True,4.020602708667836,2816.1804349422455
True,16,5,8,19,32,fifo_wait,True,1292,8,True,False,15,False,2,729,294,8,True,True,4,True,True,5.224157551838359,2942.4771769046783
False,3,5,17,49,2,fifo,True,1837,2,True,True,6,False,15,235,330,2,False,False,4,True,True,4.826038618729316,3088.7609252929688
True,2,3,28,60,16,fifo_wait,True,152,16,False,False,10,True,1,845,137,32,False,True,4,True,True,3.1515104791034263,3189.1875450611115
False,4,5,10,43,1,fifo,False,1957,1,True,False,15,True,2,959,544,32,True,True,4,True,True,3.8399821749634095,3323.413985490799
False,2,5,18,58,1,fifo,True,1564,16,True,False,3,True,17,591,407,8,True,False,4,True,True,4.7596727096661855,3544.4851315021515
True,6,4,17,51,2,fifo,True,667,2,True,False,58,True,30,834,129,32,False,False,4,True,True,4.675273100718807,3684.335203409195
True,6,3,28,56,32,fifo_wait,True,1499,1,True,False,15,True,19,761,582,4,False,True,4,True,True,3.915772907827228,3849.817696094513
True,8,7,31,63,2,fifo_wait,False,1970,2,True,True,11,True,13,836,218,16,False,False,4,True,True,4.385374579458124,4022.930414915085
False,3,1,18,47,1,fifo_wait,False,1672,8,True,False,2,False,3,306,799,8,True,True,4,True,True,4.5924681988769365,4150.185427188873
True,4,4,4,57,16,fifo_wait,False,1996,2,True,False,8,True,3,615,749,4,False,False,4,True,True,4.133899500367243,4311.100117921829
True,8,1,21,35,32,fifo_wait,False,1921,1,False,True,7,True,5,842,819,2,True,True,4,True,True,4.329438951232094,4544.457979440689
False,16,9,1,44,2,fifo,False,946,2,False,False,15,True,28,585,370,2,False,False,4,True,True,5.536993988934269,4726.889678478241
True,6,5,30,12,1,fifo_wait,False,247,1,True,True,11,True,7,943,347,4,False,False,4,True,True,4.024600287960979,4900.080783367157
True,4,4,28,43,8,fifo,True,1293,1,True,False,2,True,12,883,316,1,False,False,4,True,True,3.627874279563404,5076.572113037109
True,3,2,23,56,8,fifo,True,940,1,True,False,51,True,5,982,94,1,False,True,4,True,True,3.3013232221380258,5199.105437517166
True,2,13,23,61,16,fifo_wait,True,183,16,True,True,46,False,11,853,205,2,True,True,4,True,True,5.616144987505784,5355.271423578262
