busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,2,9,26,0,2,fifo,False,1024,2,True,True,10,True,13,15,96,2,False,True,8,True,True,5.2109626708644985,5.504363775253296
False,8,3,24,54,8,fifo_wait,False,1495,16,True,True,32,False,14,35,75,2,False,False,8,True,True,4.284991758690409,8.563262701034546
False,3,8,10,8,1,fifo,False,28,4,True,False,10,False,31,111,731,4,False,False,8,True,True,5.5203664205233025,12.897150039672852
False,9,7,16,7,2,fifo,False,48,2,False,True,14,True,24,684,245,8,False,False,8,True,True,5.167485682940466,15.933122396469116
False,5,5,25,30,2,fifo_wait,True,1,2,True,False,58,True,24,624,10,32,True,False,8,True,True,5.288955456016465,18.967196702957153
True,6,9,19,52,8,fifo,True,3,8,True,False,1,False,21,797,321,16,False,True,8,True,True,5.182742851551455,22.00049591064453
False,6,6,19,10,4,fifo_wait,False,1,8,False,False,2,True,18,36,174,4,True,False,8,True,True,5.438883088970128,25.03456163406372
False,4,15,19,15,16,fifo,False,5,8,False,False,1,True,19,855,34,4,True,False,8,True,True,5.357940166264615,28.0690598487854
True,10,1,24,23,8,fifo_wait,True,187,8,True,False,12,True,25,494,763,16,True,True,8,True,True,4.855798412997743,31.10262656211853
True,5,2,8,1,2,fifo,True,1141,16,False,False,16,True,27,14,21,1,False,True,8,True,True,4.660854269222172,34.13685607910156
False,16,13,8,8,1,fifo,True,2011,4,False,True,28,False,2,379,349,1,False,False,8,True,True,4.918856123586682,41.68231248855591
False,11,1,7,22,32,fifo_wait,True,44,16,False,True,41,False,16,544,704,4,True,False,8,True,True,4.966522476392003,49.44913482666016
False,12,1,31,56,2,fifo_wait,True,1854,4,False,True,54,True,18,773,421,8,False,True,8,True,True,4.531636133882115,56.81593942642212
False,9,1,6,49,16,fifo_wait,True,1324,8,True,False,9,True,15,326,132,4,False,True,8,True,True,4.209816105772175,64.4325819015503
True,15,2,27,53,4,fifo_wait,False,657,8,True,True,33,False,5,159,25,2,False,True,8,True,True,4.281868072257276,71.82254886627197
False,8,2,23,62,32,fifo_wait,True,452,4,False,False,58,True,25,406,19,8,False,False,8,True,True,4.651930216119657,79.15569829940796
True,3,1,26,54,16,fifo_wait,True,805,1,False,True,11,False,17,144,140,2,False,True,8,True,True,5.413045682030298,86.48137855529785
True,12,3,12,54,32,fifo,False,1759,16,True,True,20,True,30,974,91,1,False,False,8,True,True,4.522579878681531,94.1916401386261
True,2,1,29,60,4,fifo_wait,True,31,16,True,True,1,True,15,67,292,32,False,False,8,True,True,4.579237694416833,102.26637673377992
True,11,16,9,55,2,fifo_wait,True,1415,4,False,False,16,True,24,697,777,2,False,True,8,True,True,5.000832443465092,110.23112273216248
False,15,1,20,16,4,fifo_wait,True,671,8,False,False,28,True,14,1020,274,32,False,False,8,True,True,4.253638171825469,117.98129415512084
False,13,2,11,62,1,fifo_wait,True,905,4,True,True,60,True,17,526,85,8,False,True,8,True,True,4.29353279603825,125.7249150276184
False,14,3,25,43,4,fifo,True,1136,16,True,False,14,True,9,739,386,4,False,True,8,True,True,4.145135614506903,133.31489300727844
True,16,1,23,44,32,fifo_wait,False,390,16,True,False,10,False,28,981,179,16,False,True,8,True,True,4.601783336603804,143.3501648902893
False,9,2,5,1,32,fifo_wait,False,1349,16,True,True,52,True,18,108,423,8,False,True,8,True,True,4.582178653379561,151.23309659957886
True,11,2,12,25,32,fifo_wait,False,1740,8,True,False,8,True,12,865,585,16,False,True,8,True,True,4.180225634662198,159.08143663406372
True,14,3,19,34,1,fifo_wait,False,1601,16,True,False,56,True,27,814,282,1,False,False,8,True,True,4.5863852122578965,167.0003457069397
