busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,scale,enable_pep,more_params,objective,elapsed_sec
False,14,15,2,38,2,fifo,False,187,16,True,4,False,False,3.085121219085199,3.603571891784668
True,10,16,9,37,16,fifo_wait,True,435,16,False,4,False,False,2.774872554326137,4.653059482574463
False,9,7,14,34,16,fifo,False,1733,16,False,4,False,False,2.658219737701121,6.911887884140015
True,6,16,19,8,1,fifo_wait,False,861,16,True,4,False,False,2.758068152287811,7.946486949920654
True,2,12,1,33,2,fifo,False,184,16,True,4,False,False,3.10882273527796,8.980736255645752
False,8,3,28,0,4,fifo_wait,False,24,16,False,4,False,False,4.237427922993632,10.015255689620972
False,13,15,8,38,1,fifo,False,1245,2,False,4,False,False,3.9027969785970633,11.049244165420532
True,7,6,22,16,4,fifo,False,282,2,True,4,False,False,4.088408206795082,12.083496809005736
True,10,9,25,31,8,fifo_wait,True,88,2,True,4,False,False,4.264911079043109,13.11800980567932
True,9,6,20,51,2,fifo_wait,False,40,8,False,4,False,False,4.267453129227429,14.152451276779177
True,11,14,12,24,32,fifo,False,1936,16,True,4,False,False,3.697601403783958,17.847174644470215
True,1,1,3,28,1,fifo,False,1575,16,False,4,False,False,2.5785086189394013,21.518896341323853
False,3,1,14,43,16,fifo,True,1488,16,True,4,False,False,2.63403944999949,25.144946098327637
True,6,9,23,17,16,fifo,False,1000,16,True,4,False,False,2.728653269694654,28.791964769363403
True,1,5,5,12,4,fifo_wait,True,1689,16,False,4,False,False,2.4892792508318244,32.64653921127319
True,4,3,11,55,32,fifo_wait,True,2041,16,False,4,False,False,2.6807983672471463,36.30511736869812
False,2,5,2,5,1,fifo_wait,True,1359,16,True,4,False,False,2.7420279618531422,40.065561294555664
False,3,1,18,27,16,fifo,False,1508,16,False,4,False,False,2.661742926188014,43.81600499153137
False,5,1,11,60,4,fifo,True,1969,8,False,4,False,False,2.810961226803019,47.575517654418945
True,14,2,26,12,32,fifo_wait,True,1768,16,False,4,False,False,2.877978989973375,51.34810304641723
False,15,9,5,63,16,fifo_wait,True,1284,16,False,4,False,False,2.651058816549856,55.30454421043396
False,2,6,9,39,1,fifo,True,1159,16,False,4,False,False,2.5367735211869107,59.542035818099976
True,9,2,26,0,4,fifo_wait,True,1300,16,True,4,False,False,3.008376273847242,63.207871437072754
False,2,4,10,44,4,fifo,True,1481,16,False,4,False,False,2.4039673685294294,68.35689973831177
True,6,15,1,54,2,fifo_wait,True,1861,16,False,4,False,False,2.455404383113323,72.36872386932373
False,1,16,5,62,2,fifo_wait,False,1986,16,False,4,False,False,2.478703661787424,77.04491233825684
True,1,10,31,46,8,fifo,False,1558,16,False,4,False,False,2.5217695183735995,81.00625467300415
True,1,12,25,56,2,fifo_wait,False,1262,16,False,4,False,False,2.4271546669578683,84.98347496986389
True,7,16,11,49,8,fifo,True,1553,16,False,4,False,False,2.531585830639891,89.06179165840149
True,12,2,18,35,16,fifo_wait,False,1894,16,False,4,False,False,2.549967052375481,93.90220761299132
True,2,3,19,32,32,fifo_wait,False,1609,1,False,4,False,False,4.820119868133907,98.94433236122131
True,12,11,18,3,1,fifo,False,1538,16,False,4,False,False,2.6746177705111345,102.96326875686646
False,6,15,15,11,4,fifo,True,1462,16,True,4,False,False,2.636839532493009,107.04331636428832
True,4,6,10,62,8,fifo,False,1320,16,False,4,False,False,2.4790693238626265,112.43257284164427
True,15,15,2,49,8,fifo,False,1022,16,False,4,False,False,2.5359809197229866,118.14185118675232
