busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,8,3,8,54,16,fifo,True,582,8,True,True,43,True,9,33,21,2,True,False,4,True,True,4.448934939558744,88.43371200561523
False,10,8,6,42,8,fifo_wait,False,269,16,True,False,11,True,5,991,182,16,False,False,4,True,True,2.9487099009523208,107.64225602149963
True,15,16,6,44,8,fifo,True,193,16,True,True,2,True,11,912,194,32,True,False,4,True,True,4.465418003442953,196.1375699043274
True,14,2,19,46,8,fifo_wait,False,156,2,False,True,52,True,1,399,832,32,True,True,4,True,True,4.655974618913346,301.5293040275574
True,3,14,1,59,8,fifo,True,179,4,False,True,2,True,9,70,206,2,True,True,4,True,True,4.69442056165604,411.0318670272827
True,4,12,26,14,2,fifo_wait,True,841,16,False,True,10,True,18,140,174,2,False,True,4,True,True,4.798574866373398,532.4336175918579
False,7,9,26,61,32,fifo_wait,False,7,16,True,True,20,True,18,38,119,1,True,False,4,True,True,5.058609610556963,689.8990256786346
True,1,1,30,18,4,fifo_wait,True,320,4,True,False,57,False,6,389,35,8,True,True,4,True,True,4.9832297591059005,836.0307350158691
False,11,16,30,44,2,fifo_wait,False,85,2,True,True,2,False,26,75,113,2,True,False,4,True,True,5.212462382781415,1019.7616460323334
False,15,16,11,57,16,fifo_wait,False,26,2,True,False,6,False,27,453,29,8,False,False,4,True,True,5.162078797031269,1194.4571895599363
False,2,1,22,28,2,fifo,False,141,2,True,False,52,False,25,1016,870,16,True,False,4,True,True,5.043814002893865,1355.056785106659
True,15,9,1,10,1,fifo,False,1143,16,True,False,33,False,2,120,899,4,False,False,4,True,True,4.63353145424586,1462.5468609333038
True,5,7,20,12,32,fifo,True,737,4,True,False,34,True,2,1016,260,1,False,False,4,True,True,4.38886669542219,1547.8100962638855
