busy_spin,hepnos_num_event_databases,hepnos_num_product_databases,hepnos_num_providers,hepnos_num_rpc_threads,hepnos_pes_per_node,hepnos_pool_type,hepnos_progress_thread,loader_batch_size,loader_pes_per_node,loader_progress_thread,loader_async,loader_async_threads,pep_progress_thread,pep_num_threads,pep_ibatch_size,pep_obatch_size,pep_pes_per_node,pep_no_preloading,pep_no_rdma,scale,enable_pep,more_params,objective,elapsed_sec
True,6,5,8,18,4,fifo,True,264,8,False,False,5,True,6,38,853,32,False,False,4,True,True,3.2891631699529142,29.66757106781006
True,1,13,10,49,2,fifo_wait,True,416,16,False,True,1,True,8,202,94,4,False,False,4,True,True,3.3483899463589535,58.20976638793945
False,14,8,6,51,1,fifo_wait,True,421,8,True,False,4,True,6,10,14,4,False,False,4,True,True,3.627408299255532,97.2259726524353
True,7,10,9,59,1,fifo,False,1171,2,True,True,14,False,28,121,247,32,False,True,4,True,True,4.623879389648617,199.24605202674863
True,16,9,17,38,4,fifo,False,126,2,True,True,19,False,5,22,611,16,True,False,4,True,True,4.694584439202997,308.7558138370514
True,5,14,12,15,32,fifo_wait,False,328,16,False,True,1,True,31,14,41,2,True,False,4,True,True,4.649416936675242,413.43532848358154
False,15,10,14,60,32,fifo_wait,False,467,8,False,False,25,False,24,466,505,2,False,False,4,True,True,4.876534538885321,544.7688047885895
True,2,9,25,12,1,fifo,False,72,8,False,True,12,False,4,91,21,16,False,True,4,True,True,4.783754260603171,664.4808797836304
True,14,11,21,48,4,fifo_wait,True,24,8,False,True,62,True,8,25,9,2,False,False,4,True,True,4.980798459470291,810.2274630069733
True,4,5,30,62,4,fifo,False,107,4,False,True,3,False,20,39,202,32,True,True,4,True,True,4.8197290442052685,934.3114712238312
True,14,7,8,28,16,fifo,True,32,1,True,True,1,False,8,451,969,32,False,False,4,True,True,5.142839945676945,1110.6413707733154
False,1,12,21,49,16,fifo_wait,True,1517,4,True,False,10,True,16,116,678,32,False,False,4,True,True,3.9173210826969056,1165.2984855175018
True,1,14,30,15,1,fifo,True,50,16,False,False,5,True,3,1017,603,4,True,False,4,True,True,4.982082749750081,1315.464101314545
False,1,2,1,47,8,fifo,True,1903,1,False,False,15,True,28,81,322,32,True,True,4,True,True,5.112791028437637,1486.559032678604
True,4,4,3,36,4,fifo,True,338,4,True,False,2,False,25,179,183,32,False,False,4,True,True,4.062144417770485,1549.2818171977997
True,3,10,31,56,4,fifo_wait,True,1067,2,True,False,1,False,11,169,62,32,False,True,4,True,True,4.792596260584551,1674.4098708629608
False,2,15,22,37,4,fifo,True,1394,4,True,True,8,True,14,108,801,32,False,False,4,True,True,3.940868032700822,1730.2778594493866
True,3,11,2,24,8,fifo,True,528,16,True,True,5,False,28,318,891,32,False,False,4,True,True,3.880183467717136,1783.0983831882477
False,9,15,19,55,8,fifo,False,1070,4,False,False,7,True,5,175,1004,8,False,False,4,True,True,3.8863197154877103,1836.311642885208
True,11,8,25,34,1,fifo_wait,False,699,2,True,True,1,True,12,264,770,1,False,False,4,True,True,4.76353649160488,1958.1816935539248
True,3,12,27,24,8,fifo,False,619,8,False,True,2,False,18,9,923,1,False,False,4,True,True,5.1896859097207155,2142.277865886688
False,14,16,4,26,2,fifo_wait,False,1995,8,True,False,10,True,6,33,665,8,False,False,4,True,True,3.4994012013803184,2179.789345741272
False,12,15,5,40,4,fifo_wait,True,1630,1,False,False,7,False,3,851,302,2,True,False,4,True,True,5.134558569709833,2354.2673449516296
False,14,15,2,6,2,fifo,True,317,4,True,False,6,True,29,34,688,8,False,False,4,True,True,4.418134425500297,2441.7987098693848
False,12,2,13,48,1,fifo_wait,False,983,8,True,False,2,False,7,43,472,16,False,False,4,True,True,3.7993820899191735,2491.487601995468
True,11,8,16,44,16,fifo_wait,True,2038,16,True,False,11,True,14,519,651,32,False,False,4,True,True,3.437758705023719,2527.205826997757
True,10,15,15,57,4,fifo,False,1859,2,False,False,10,True,26,542,836,32,False,False,4,True,True,4.7007313861996805,2641.9427919387817
True,3,8,2,59,32,fifo_wait,True,572,8,False,False,20,False,3,39,294,32,True,False,4,True,True,4.582605642506864,2744.819437980652
