,number,objective,datetime_start,datetime_complete,duration,params_busy_spin,params_hepnos_num_event_databases,params_hepnos_num_product_databases,params_hepnos_num_providers,params_hepnos_num_rpc_threads,params_hepnos_pes_per_node,params_hepnos_pool_type,params_hepnos_progress_thread,params_loader_async,params_loader_async_threads,params_loader_batch_size,params_loader_pes_per_node,params_loader_progress_thread,params_pep_ibatch_size,params_pep_no_preloading,params_pep_no_rdma,params_pep_num_threads,params_pep_obatch_size,params_pep_pes_per_node,params_pep_progress_thread,system_attrs_fixed_params,state
0,0,4.448934939558744,2022-04-29 11:35:08.560324,2022-04-29 11:35:08.568803,0 days 00:00:00.008479,True,8,3,8,54,16,fifo,True,True,43,582,8,True,33,True,False,9,21,2,True,"{'busy_spin': True, 'hepnos_num_event_databases': 8, 'hepnos_num_product_databases': 3, 'hepnos_num_providers': 8, 'hepnos_num_rpc_threads': 54, 'hepnos_pes_per_node': 16, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 43, 'loader_batch_size': 582, 'loader_pes_per_node': 8, 'loader_progress_thread': True, 'pep_ibatch_size': 33, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 9, 'pep_obatch_size': 21, 'pep_pes_per_node': 2, 'pep_progress_thread': True}",COMPLETE
1,1,2.9487099009523208,2022-04-29 11:35:08.569344,2022-04-29 11:35:08.577261,0 days 00:00:00.007917,False,10,8,6,42,8,fifo_wait,False,False,11,269,16,True,991,False,False,5,182,16,True,"{'busy_spin': False, 'hepnos_num_event_databases': 10, 'hepnos_num_product_databases': 8, 'hepnos_num_providers': 6, 'hepnos_num_rpc_threads': 42, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': False, 'loader_async_threads': 11, 'loader_batch_size': 269, 'loader_pes_per_node': 16, 'loader_progress_thread': True, 'pep_ibatch_size': 991, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 5, 'pep_obatch_size': 182, 'pep_pes_per_node': 16, 'pep_progress_thread': True}",COMPLETE
2,2,4.465418003442953,2022-04-29 11:35:08.577782,2022-04-29 11:35:08.585657,0 days 00:00:00.007875,True,15,16,6,44,8,fifo,True,True,2,193,16,True,912,True,False,11,194,32,True,"{'busy_spin': True, 'hepnos_num_event_databases': 15, 'hepnos_num_product_databases': 16, 'hepnos_num_providers': 6, 'hepnos_num_rpc_threads': 44, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 2, 'loader_batch_size': 193, 'loader_pes_per_node': 16, 'loader_progress_thread': True, 'pep_ibatch_size': 912, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 11, 'pep_obatch_size': 194, 'pep_pes_per_node': 32, 'pep_progress_thread': True}",COMPLETE
3,3,4.655974618913346,2022-04-29 11:35:08.586186,2022-04-29 11:35:08.594026,0 days 00:00:00.007840,True,14,2,19,46,8,fifo_wait,False,True,52,156,2,False,399,True,True,1,832,32,True,"{'busy_spin': True, 'hepnos_num_event_databases': 14, 'hepnos_num_product_databases': 2, 'hepnos_num_providers': 19, 'hepnos_num_rpc_threads': 46, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 52, 'loader_batch_size': 156, 'loader_pes_per_node': 2, 'loader_progress_thread': False, 'pep_ibatch_size': 399, 'pep_no_preloading': True, 'pep_no_rdma': True, 'pep_num_threads': 1, 'pep_obatch_size': 832, 'pep_pes_per_node': 32, 'pep_progress_thread': True}",COMPLETE
4,4,4.69442056165604,2022-04-29 11:35:08.594590,2022-04-29 11:35:08.602954,0 days 00:00:00.008364,True,3,14,1,59,8,fifo,True,True,2,179,4,False,70,True,True,9,206,2,True,"{'busy_spin': True, 'hepnos_num_event_databases': 3, 'hepnos_num_product_databases': 14, 'hepnos_num_providers': 1, 'hepnos_num_rpc_threads': 59, 'hepnos_pes_per_node': 8, 'hepnos_pool_type': 'fifo', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 2, 'loader_batch_size': 179, 'loader_pes_per_node': 4, 'loader_progress_thread': False, 'pep_ibatch_size': 70, 'pep_no_preloading': True, 'pep_no_rdma': True, 'pep_num_threads': 9, 'pep_obatch_size': 206, 'pep_pes_per_node': 2, 'pep_progress_thread': True}",COMPLETE
5,5,4.798574866373398,2022-04-29 11:35:08.603505,2022-04-29 11:35:08.611213,0 days 00:00:00.007708,True,4,12,26,14,2,fifo_wait,True,True,10,841,16,False,140,False,True,18,174,2,True,"{'busy_spin': True, 'hepnos_num_event_databases': 4, 'hepnos_num_product_databases': 12, 'hepnos_num_providers': 26, 'hepnos_num_rpc_threads': 14, 'hepnos_pes_per_node': 2, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': True, 'loader_async_threads': 10, 'loader_batch_size': 841, 'loader_pes_per_node': 16, 'loader_progress_thread': False, 'pep_ibatch_size': 140, 'pep_no_preloading': False, 'pep_no_rdma': True, 'pep_num_threads': 18, 'pep_obatch_size': 174, 'pep_pes_per_node': 2, 'pep_progress_thread': True}",COMPLETE
6,6,5.058609610556963,2022-04-29 11:35:08.611722,2022-04-29 11:35:08.619421,0 days 00:00:00.007699,False,7,9,26,61,32,fifo_wait,False,True,20,7,16,True,38,True,False,18,119,1,True,"{'busy_spin': False, 'hepnos_num_event_databases': 7, 'hepnos_num_product_databases': 9, 'hepnos_num_providers': 26, 'hepnos_num_rpc_threads': 61, 'hepnos_pes_per_node': 32, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 20, 'loader_batch_size': 7, 'loader_pes_per_node': 16, 'loader_progress_thread': True, 'pep_ibatch_size': 38, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 18, 'pep_obatch_size': 119, 'pep_pes_per_node': 1, 'pep_progress_thread': True}",COMPLETE
7,7,4.9832297591059005,2022-04-29 11:35:08.619930,2022-04-29 11:35:08.627678,0 days 00:00:00.007748,True,1,1,30,18,4,fifo_wait,True,False,57,320,4,True,389,True,True,6,35,8,False,"{'busy_spin': True, 'hepnos_num_event_databases': 1, 'hepnos_num_product_databases': 1, 'hepnos_num_providers': 30, 'hepnos_num_rpc_threads': 18, 'hepnos_pes_per_node': 4, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': True, 'loader_async': False, 'loader_async_threads': 57, 'loader_batch_size': 320, 'loader_pes_per_node': 4, 'loader_progress_thread': True, 'pep_ibatch_size': 389, 'pep_no_preloading': True, 'pep_no_rdma': True, 'pep_num_threads': 6, 'pep_obatch_size': 35, 'pep_pes_per_node': 8, 'pep_progress_thread': False}",COMPLETE
8,8,5.212462382781415,2022-04-29 11:35:08.628242,2022-04-29 11:35:08.636498,0 days 00:00:00.008256,False,11,16,30,44,2,fifo_wait,False,True,2,85,2,True,75,True,False,26,113,2,False,"{'busy_spin': False, 'hepnos_num_event_databases': 11, 'hepnos_num_product_databases': 16, 'hepnos_num_providers': 30, 'hepnos_num_rpc_threads': 44, 'hepnos_pes_per_node': 2, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': True, 'loader_async_threads': 2, 'loader_batch_size': 85, 'loader_pes_per_node': 2, 'loader_progress_thread': True, 'pep_ibatch_size': 75, 'pep_no_preloading': True, 'pep_no_rdma': False, 'pep_num_threads': 26, 'pep_obatch_size': 113, 'pep_pes_per_node': 2, 'pep_progress_thread': False}",COMPLETE
9,9,5.162078797031269,2022-04-29 11:35:08.637045,2022-04-29 11:35:08.644731,0 days 00:00:00.007686,False,15,16,11,57,16,fifo_wait,False,False,6,26,2,True,453,False,False,27,29,8,False,"{'busy_spin': False, 'hepnos_num_event_databases': 15, 'hepnos_num_product_databases': 16, 'hepnos_num_providers': 11, 'hepnos_num_rpc_threads': 57, 'hepnos_pes_per_node': 16, 'hepnos_pool_type': 'fifo_wait', 'hepnos_progress_thread': False, 'loader_async': False, 'loader_async_threads': 6, 'loader_batch_size': 26, 'loader_pes_per_node': 2, 'loader_progress_thread': True, 'pep_ibatch_size': 453, 'pep_no_preloading': False, 'pep_no_rdma': False, 'pep_num_threads': 27, 'pep_obatch_size': 29, 'pep_pes_per_node': 8, 'pep_progress_thread': False}",COMPLETE
10,10,5.701373066054303,2022-04-29 11:35:08.645234,2022-04-29 11:35:08.662823,0 days 00:00:00.017589,False,11,6,15,0,1,fifo_wait,False,False,14,1,1,True,13,False,False,1,682,16,False,,COMPLETE
11,11,3.7819300244960337,2022-04-29 11:35:08.663451,2022-04-29 11:35:08.681126,0 days 00:00:00.017675,False,8,6,8,35,16,fifo,True,False,26,1929,8,True,16,False,False,13,8,4,True,,COMPLETE
12,12,3.965222968878133,2022-04-29 11:35:08.681641,2022-04-29 11:35:08.699702,0 days 00:00:00.018061,False,11,7,2,31,16,fifo,True,False,24,1640,8,True,8,False,False,15,8,4,True,,COMPLETE
13,13,4.36826742086549,2022-04-29 11:35:08.700252,2022-04-29 11:35:08.717825,0 days 00:00:00.017573,False,6,10,13,32,32,fifo,False,False,6,1523,8,True,18,False,False,22,8,4,True,,COMPLETE
14,14,5.245897238225616,2022-04-29 11:35:08.718340,2022-04-29 11:35:08.736409,0 days 00:00:00.018069,False,10,5,7,33,4,fifo,True,False,1,29,1,True,174,False,False,5,414,16,True,,COMPLETE
15,15,3.685151768490007,2022-04-29 11:35:08.736962,2022-04-29 11:35:08.754504,0 days 00:00:00.017542,False,9,4,17,25,1,fifo,False,False,28,578,16,False,1012,False,False,14,52,16,True,,COMPLETE
16,16,5.457368582601855,2022-04-29 11:35:08.755022,2022-04-29 11:35:08.773260,0 days 00:00:00.018238,False,13,3,19,21,1,fifo,False,False,9,11,16,False,1020,False,False,22,50,16,True,,COMPLETE
17,17,4.338413046018555,2022-04-29 11:35:08.773810,2022-04-29 11:35:08.791261,0 days 00:00:00.017451,False,5,11,19,8,1,fifo_wait,False,False,4,80,16,False,614,False,False,5,346,16,True,,COMPLETE
18,18,3.9632012665376304,2022-04-29 11:35:08.791776,2022-04-29 11:35:08.809888,0 days 00:00:00.018112,False,9,8,24,23,8,fifo_wait,False,False,31,443,16,False,216,False,True,15,58,16,False,,COMPLETE
19,19,5.2028043241856645,2022-04-29 11:35:08.810416,2022-04-29 11:35:08.828247,0 days 00:00:00.017831,False,13,4,16,39,1,fifo,False,False,14,59,16,False,280,False,False,31,18,1,True,,COMPLETE
20,20,5.431117977756847,2022-04-29 11:35:08.828820,2022-04-29 11:35:08.846897,0 days 00:00:00.018077,False,12,8,22,25,1,fifo,False,False,3,2,16,False,720,False,False,8,80,16,True,,COMPLETE
21,21,3.7752687538087617,2022-04-29 11:35:08.847418,2022-04-29 11:35:08.865541,0 days 00:00:00.018123,False,8,6,9,36,16,fifo,True,False,32,1852,8,True,39,False,False,12,14,4,True,,COMPLETE
22,22,3.6888404581968213,2022-04-29 11:35:08.866228,2022-04-29 11:35:08.884966,0 days 00:00:00.018738,False,9,5,4,49,8,fifo,False,False,15,699,8,True,46,False,False,12,17,4,True,,COMPLETE
